workload,vm,entry,rank,transition,count,total_ns
richards,rxvm,opt,5,external_entry,1,0
base64,rxvm,noopt,1,sequential_same_frame,51515365,0
base64,rxvm,noopt,2,branch_same_frame,12329056,0
base64,rxvm,noopt,3,call_enter_frame,2054007,0
base64,rxvm,noopt,4,return_leave_frame,2054007,0
base64,rxvm,noopt,5,external_entry,1,0
base64,rxvm,opt,1,sequential_same_frame,37136308,0
base64,rxvm,opt,2,branch_same_frame,9587060,0
base64,rxvm,opt,3,call_enter_frame,500,0
base64,rxvm,opt,4,return_leave_frame,500,0
base64,rxvm,opt,5,external_entry,1,0
sieve,rxbvm,noopt,1,sequential_same_frame,6055271,0
sieve,rxbvm,noopt,2,branch_same_frame,1857003,0
sieve,rxbvm,noopt,3,call_enter_frame,50,0
sieve,rxbvm,noopt,4,return_leave_frame,50,0
sieve,rxbvm,noopt,5,external_entry,1,0
sieve,rxbvm,opt,1,sequential_same_frame,4968371,0
sieve,rxbvm,opt,2,branch_same_frame,1857003,0
sieve,rxbvm,opt,3,external_entry,1,0
sieve,rxbvm,opt,4,terminal,1,0
permute,rxbvm,noopt,1,sequential_same_frame,12471322,0
permute,rxbvm,noopt,2,branch_same_frame,1118003,0
permute,rxbvm,noopt,3,call_enter_frame,937000,0
permute,rxbvm,noopt,4,return_leave_frame,937000,0
permute,rxbvm,noopt,5,external_entry,1,0
permute,rxbvm,opt,1,sequential_same_frame,10347972,0
permute,rxbvm,opt,2,branch_same_frame,685053,0
permute,rxbvm,opt,3,call_enter_frame,432950,0
permute,rxbvm,opt,4,return_leave_frame,432950,0
permute,rxbvm,opt,5,external_entry,1,0
towers,rxbvm,noopt,1,sequential_same_frame,6842772,0
towers,rxbvm,noopt,2,branch_same_frame,791903,0
towers,rxbvm,noopt,3,call_enter_frame,737610,0
towers,rxbvm,noopt,4,return_leave_frame,737610,0
towers,rxbvm,noopt,5,external_entry,1,0
towers,rxbvm,opt,1,sequential_same_frame,5777682,0
towers,rxbvm,opt,2,branch_same_frame,1037873,0
towers,rxbvm,opt,3,call_enter_frame,163950,0
towers,rxbvm,opt,4,return_leave_frame,163950,0
towers,rxbvm,opt,5,external_entry,1,0
bounce,rxbvm,noopt,1,sequential_same_frame,19216022,0
bounce,rxbvm,noopt,2,branch_same_frame,2958603,0
bounce,rxbvm,noopt,3,call_enter_frame,692900,0
bounce,rxbvm,noopt,4,return_leave_frame,692900,0
bounce,rxbvm,noopt,5,external_entry,1,0
bounce,rxbvm,opt,1,sequential_same_frame,17845222,0
bounce,rxbvm,opt,2,branch_same_frame,3274303,0
bounce,rxbvm,opt,3,call_enter_frame,10100,0
bounce,rxbvm,opt,4,return_leave_frame,10100,0
bounce,rxbvm,opt,5,external_entry,1,0
richards,rxbvm,noopt,1,sequential_same_frame,7359912,0
richards,rxbvm,noopt,2,branch_same_frame,1002931,0
richards,rxbvm,noopt,3,call_enter_frame,469638,0
richards,rxbvm,noopt,4,return_leave_frame,469638,0
richards,rxbvm,noopt,5,external_entry,1,0
richards,rxbvm,opt,1,sequential_same_frame,7156384,0
richards,rxbvm,opt,2,branch_same_frame,1220546,0
richards,rxbvm,opt,3,call_enter_frame,119157,0
richards,rxbvm,opt,4,return_leave_frame,119157,0
richards,rxbvm,opt,5,external_entry,1,0
base64,rxbvm,noopt,1,sequential_same_frame,51515365,0
base64,rxbvm,noopt,2,branch_same_frame,12329056,0
base64,rxbvm,noopt,3,call_enter_frame,2054007,0
base64,rxbvm,noopt,4,return_leave_frame,2054007,0
base64,rxbvm,noopt,5,external_entry,1,0
base64,rxbvm,opt,1,sequential_same_frame,37136308,0
base64,rxbvm,opt,2,branch_same_frame,9587060,0
base64,rxbvm,opt,3,call_enter_frame,500,0
base64,rxbvm,opt,4,return_leave_frame,500,0
base64,rxbvm,opt,5,external_entry,1,0
