rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,10300000,70,1,8,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6) | SWAP_REG_REG(r7,r8)","r1=R25;r2=R16;r3=R26;r4=R20;r5=R27;r6=R21;r7=R28;r8=R19","rxjson",1169
14,1475000,11,1,7,over_3_symbols,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6)","r1=R16;c1=int:256;r2=R25;r3=R26;r4=R20;r5=R27;r6=R21","rxjson",1166
15,1315000,10,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r1,r1,c2) | BRF_ID_REG(c3,r1)","c1=label@1592;r1=R19;r2=R33;r3=R27;c2=int:93;c3=label@1603","rxjson",1581
16,1315000,10,1,6,over_3_symbols,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r1,r4,r2) | IEQ_REG_REG_INT(r1,r1,c2)","r1=R19;r2=R27;r3=R37;c1=label@1592;r4=R33;c2=int:93","rxjson",1577
17,795000,4,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r1,r4,r2)","r1=R58;r2=R27;r3=R37;c1=label@1821;r4=R33","rxjson",1804
18,745001,5,2,3,candidate,"SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3) | SETNUMCAS_INT(c3)","c1=int:18;c2=int:0;c3=int:1","benchmark_json_parser_opt",0
19,745001,5,2,2,candidate,"SETNUMFUZ_INT(c1) | SETNUMFRM_INT(c2) | SETNUMCAS_INT(c2) | SETNUMSTD_INT(c2)","c1=int:0;c2=int:1","benchmark_json_parser_opt",2
20,740000,6,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2) | SWAP_REG_REG(r4,r5)","r1=R24;c1=int:5;r2=R16;c2=int:256;r3=R25;r4=R26;r5=R20","rxjson",1163
21,740000,6,1,9,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6) | CALL_REG_FUNC_REG(r7,c1,r8)","r1=R27;r2=R21;r3=R28;r4=R19;r5=R29;r6=R17;r7=R18;c1=func@2281184;r8=R24","rxjson",1175
22,735000,5,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1) | SWAP_REG_REG(r4,r3) | SWAP_REG_REG(r5,r6)","r1=R32;r2=R19;r3=R17;c1=int:256;r4=R33;r5=R34;r6=R9","rxjson",1269
23,735000,5,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SETTP_REG_INT(r5,c1) | SWAP_REG_REG(r6,r5)","r1=R27;r2=R15;r3=R29;r4=R18;r5=R20;c1=int:256;r6=R30","rxjson",1248
24,735000,5,1,8,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6) | SETTP_REG_INT(r7,c1)","r1=R26;r2=R5;r3=R27;r4=R15;r5=R29;r6=R18;r7=R20;c1=int:256","rxjson",1245
25,655000,6,1,6,over_3_symbols,"BGETU8_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r3,r3,c3)","r1=R58;r2=R33;r3=R27;c1=int:44;c2=label@1905;c3=int:1","rxjson",1813
26,655000,1,1,7,over_3_symbols,"ICOPY_REG_REG(r1,r2) | BGETU8_REG_REG_REG(r3,r4,r2) | IEQ_REG_REG_INT(r5,r3,c1) | BRF_ID_REG(c2,r5)","r1=R14;r2=R103;r3=R1;r4=R101;r5=R22;c1=int:34;c2=label@11926","rxjson",11151
27,655000,1,1,5,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4)","c1=int:1;r1=R15;r2=R101;r3=R16;r4=R102","rxjson",11067
28,655000,1,1,3,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | COPY_REG_REG(r1,r2)","c1=int:1;r1=R15;r2=R101","rxjson",11065
29,655000,1,1,7,over_3_symbols,"SETNUMSTD_INT(c1) | COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ILT_REG_REG_REG(r5,r6,r3)","c1=int:1;r1=R15;r2=R101;r3=R16;r4=R102;r5=R19;r6=R103","rxjson",11069
30,650000,3,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | IEQ_REG_REG_INT(r4,r5,c1) | BRF_ID_REG(c2,r4)","r1=R29;r2=R57;r3=R31;r4=R58;r5=R18;c1=int:0;c2=label@1731","rxjson",1710
31,650000,3,1,8,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6) | IEQ_REG_REG_INT(r6,r7,c1)","r1=R30;r2=R56;r3=R29;r4=R57;r5=R31;r6=R58;r7=R18;c1=int:0","rxjson",1707
32,645000,5,1,7,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5) | ILT_REG_REG_REG(r6,r1,r4)","r1=R27;c1=int:1;r2=R62;r3=R33;r4=R63;r5=R28;r6=R54","rxjson",1824
33,630000,3,1,6,over_3_symbols,"BRT_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r1,r2,r3) | INE_REG_REG_INT(r1,r1,c2) | BRF_ID_REG(c3,r1)","c1=label@11189;r1=R26;r2=R18;r3=R103;c2=int:34;c3=label@11200","rxjson",11178
34,630000,3,1,6,over_3_symbols,"IGTE_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r1,r4,r2) | INE_REG_REG_INT(r1,r1,c2)","r1=R26;r2=R103;r3=R24;c1=label@11189;r4=R18;c2=int:34","rxjson",11174
35,480000,3,1,7,over_3_symbols,"BGETU8_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r4,r1,c1) | BRF_ID_REG(c2,r4) | IADD_REG_REG_INT(r3,r3,c3)","r1=R27;r2=R18;r3=R103;r4=R28;c1=int:34;c2=label@11237;c3=int:1","rxjson",11214
36,480000,2,1,8,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5) | ILT_REG_REG_REG(r6,r7,r4)","r1=R34;c1=int:1;r2=R59;r3=R33;r4=R60;r5=R28;r6=R57;r7=R27","rxjson",1731
37,475000,4,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | IEQ_REG_REG_INT(r3,r3,c1) | BRF_ID_REG(c2,r3)","r1=R8;r2=R9;r3=R10;c1=int:0;c2=label@9210","rxjson",9197
38,460000,2,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r2,c2) | LOAD_REG_INT(r3,c2) | ICOPY_REG_REG(r4,r3)","c1=label@11237;r1=R28;r2=R103;c2=int:1;r3=R29;r4=R43","rxjson",11222
39,460000,2,1,7,over_3_symbols,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | IGTE_REG_REG_REG(r5,r6,r3) | BRT_ID_REG(c1,r5)","r1=R18;r2=R101;r3=R24;r4=R102;r5=R26;r6=R103;c1=label@11189","rxjson",11168
40,460000,2,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | LOAD_REG_INT(r2,c1) | ICOPY_REG_REG(r3,r2) | BR_ID(c2)","r1=R103;c1=int:1;r2=R29;r3=R43;c2=label@11883","rxjson",11225
41,460000,2,1,7,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | LOAD_REG_INT(r2,c2) | ILT_REG_REG_REG(r3,r1,r4) | BRF_ID_REG(c3,r3)","r1=R103;c1=int:1;r2=R19;c2=int:0;r3=R26;r4=R24;c3=label@11873","rxjson",11200
42,460000,2,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | IGTE_REG_REG_REG(r3,r4,r1) | BRT_ID_REG(c1,r3) | BGETU8_REG_REG_REG(r3,r5,r4)","r1=R24;r2=R102;r3=R26;r4=R103;c1=label@11189;r5=R18","rxjson",11171
43,460000,2,1,7,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r3,r3,c3) | LOAD_REG_INT(r4,c3)","r1=R28;r2=R27;c1=int:34;c2=label@11237;r3=R103;c3=int:1;r4=R29","rxjson",11218
44,460000,2,1,8,over_3_symbols,"LOAD_REG_INT(r1,c1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5) | IGTE_REG_REG_REG(r6,r7,r4)","r1=R19;c1=int:0;r2=R18;r3=R101;r4=R24;r5=R102;r6=R26;r7=R103","rxjson",11165
45,460000,2,1,8,over_3_symbols,"LOAD_REG_INT(r1,c1) | ILT_REG_REG_REG(r2,r3,r4) | BRF_ID_REG(c2,r2) | BGETU8_REG_REG_REG(r5,r6,r3)","r1=R19;c1=int:0;r2=R26;r3=R103;r4=R24;c2=label@11873;r5=R27;r6=R18","rxjson",11204
46,440000,1,1,8,over_3_symbols,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | IGTE_REG_REG_INT(r3,r4,c3) | BRF_ID_REG(c4,r3)","c1=label@12658;r1=R49;r2=R50;c2=int:-1;r3=R46;r4=R60;c3=int:0;c4=label@12230","rxjson",12213
47,440000,1,1,9,over_3_symbols,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | LOAD_REG_INT(r4,c2) | IGTE_REG_REG_INT(r5,r6,c3)","r1=R49;r2=R103;r3=R57;c1=label@12658;r4=R50;c2=int:-1;r5=R46;r6=R60;c3=int:0","rxjson",12209
48,420000,3,1,8,over_3_symbols,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r2,c2) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6)","c1=label@1905;r1=R58;r2=R27;c2=int:1;r3=R62;r4=R33;r5=R63;r6=R28","rxjson",1821
49,420000,3,1,7,over_3_symbols,"IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r2,r2,c3) | COPY_REG_REG(r3,r4)","r1=R58;c1=int:44;c2=label@1905;r2=R27;c3=int:1;r3=R62;r4=R33","rxjson",1817
50,290000,1,1,8,over_3_symbols,"BGETU8_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r4,r1,c1) | BRF_ID_REG(c2,r4) | LOAD_REG_INT(r5,c3)","r1=R1;r2=R101;r3=R103;r4=R22;c1=int:34;c2=label@11926;r5=R19;c3=int:0","rxjson",11154
51,290000,1,1,8,over_3_symbols,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6)","c1=label@11926;r1=R22;r2=R19;c2=int:0;r3=R18;r4=R101;r5=R24;r6=R102","rxjson",11162
52,290000,1,1,8,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LOAD_REG_INT(r3,c3) | COPY_REG_REG(r4,r5)","r1=R22;r2=R1;c1=int:34;c2=label@11926;r3=R19;c3=int:0;r4=R18;r5=R101","rxjson",11158
53,290000,22,1,4,over_3_symbols,"NULL_REG(r1) | NULL_REG(r2) | NULL_REG(r3) | NULL_REG(r4)","r1=R17;r2=R19;r3=R20;r4=R21","rxjson",1132
54,225000,2,1,8,over_3_symbols,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r2,c2) | IEQ_REG_REG_REG(r3,r4,r5) | BRF_ID_REG(c3,r3)","c1=label@12648;r1=R83;r2=R103;c2=int:1;r3=R82;r4=R60;r5=R55;c3=label@12628","rxjson",12610
55,225000,2,1,8,over_3_symbols,"IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r2,r2,c3) | IEQ_REG_REG_REG(r3,r4,r5)","r1=R83;c1=int:93;c2=label@12648;r2=R103;c3=int:1;r3=R82;r4=R60;r5=R55","rxjson",12606
56,205000,1,1,8,over_3_symbols,"BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r2,r3,r4) | ILT_REG_REG_INT(r5,r2,c2) | BRT_ID_REG(c3,r5)","c1=label@13207;r1=R72;r2=R79;r3=R76;r4=R103;r5=R71;c2=int:48;c3=label@13186","rxjson",13168
57,205000,1,1,8,over_3_symbols,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r4,r5,r2) | ILT_REG_REG_INT(r6,r4,c2)","r1=R72;r2=R103;r3=R75;c1=label@13207;r4=R79;r5=R76;r6=R71;c2=int:48","rxjson",13164
58,190000,3,1,8,over_3_symbols,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5) | ICOPY_REG_REG(r6,r7)","c1=label@12690;r1=R61;r2=R58;r3=R101;r4=R57;r5=R102;r6=R51;r7=R14","rxjson",12045
59,180000,2,1,8,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6)","r1=R61;r2=R1;c1=int:91;c2=label@12690;r3=R58;r4=R101;r5=R57;r6=R102","rxjson",12041
60,170000,1,1,8,over_3_symbols,"BRF_ID_REG(c1,r1) | ICOPY_REG_REG(r2,r3) | LOAD_REG_INT(r4,c2) | COPY_REG_REG(r5,r6)","c1=label@15100;r1=R23;r2=R22;r3=R82;r4=R18;c2=int:0;r5=R24;r6=R80","rxjson",13621
61,170000,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | IGTE_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r1,r4,r2)","r1=R48;r2=R82;r3=R81;c1=label@14447;r4=R80","rxjson",14430
62,170000,1,1,8,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | LOAD_REG_INT(r2,c2) | IGTE_REG_REG_INT(r3,r4,c3) | BRF_ID_REG(c4,r3)","r1=R82;c1=int:1;r2=R21;c2=int:-1;r3=R48;r4=R84;c3=int:0;c4=label@14470","rxjson",14452
63,170000,1,1,7,over_3_symbols,"ICOPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6) | ILT_REG_REG_REG(r7,r2,r5)","r1=R17;r2=R82;r3=R49;r4=R80;r5=R50;r6=R81;r7=R45","rxjson",14358
64,170000,1,1,8,over_3_symbols,"ICOPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | COPY_REG_REG(r4,r5) | ICOPY_REG_REG(r6,r7)","r1=R22;r2=R82;r3=R18;c1=int:0;r4=R24;r5=R80;r6=R26;r7=R81","rxjson",13624
65,170000,1,1,7,over_3_symbols,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | ICOPY_REG_REG(r4,r2) | LOAD_REG_INT(r5,c2)","r1=R23;r2=R82;r3=R81;c1=label@15100;r4=R22;r5=R18;c2=int:0","rxjson",13617
66,160000,3,1,8,over_3_symbols,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6) | ICOPY_REG_REG(r7,r8)","r1=R33;r2=R0;r3=R28;r4=R5;r5=R20;r6=R3;r7=R37;r8=R1","rxjson",1487
67,150000,1,1,7,over_3_symbols,"BGETU8_REG_REG_REG(r1,r2,r3) | ILT_REG_REG_INT(r4,r1,c1) | BRT_ID_REG(c2,r4) | IGT_REG_REG_INT(r4,r1,c3)","r1=R79;r2=R76;r3=R103;r4=R71;c1=int:48;c2=label@13186;c3=int:57","rxjson",13171
68,150000,2,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3) | RET_REG(r4)","r1=R24;r2=R21;r3=R20;r4=R58","rxjson",1932
69,150000,1,1,6,over_3_symbols,"ILT_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IGT_REG_REG_INT(r1,r2,c3) | BRF_ID_REG(c4,r1)","r1=R71;r2=R79;c1=int:48;c2=label@13186;c3=int:57;c4=label@13191","rxjson",13175
70,150000,2,1,8,over_3_symbols,"LOAD_REG_INT(r1,c1) | ILT_REG_REG_REG(r2,r3,r4) | BRF_ID_REG(c2,r2) | LOAD_REG_INT(r5,c3)","r1=R31;c1=int:0;r2=R19;r3=R27;r4=R37;c2=label@1905;r5=R49;c3=int:-1","rxjson",1612
71,145000,1,1,8,over_3_symbols,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r6) | COPY_REG_REG(r7,r8)","r1=R53;r2=R106;r3=R52;r4=R107;r5=R54;r6=R108;r7=R56;r8=R109","rxjson",12063
72,145000,1,1,8,over_3_symbols,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r6) | IADD_REG_REG_INT(r7,r7,c1)","r1=R52;r2=R107;r3=R54;r4=R108;r5=R56;r6=R109;r7=R103;c1=int:1","rxjson",12066
73,145000,1,1,8,over_3_symbols,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | IADD_REG_REG_INT(r5,r5,c1) | COPY_REG_REG(r6,r7)","r1=R54;r2=R108;r3=R56;r4=R109;r5=R103;c1=int:1;r6=R67;r7=R58","rxjson",12069
74,145000,1,1,8,over_3_symbols,"COPY_REG_REG(r1,r2) | IADD_REG_REG_INT(r3,r3,c1) | COPY_REG_REG(r4,r5) | ICOPY_REG_REG(r6,r7)","r1=R56;r2=R109;r3=R103;c1=int:1;r4=R67;r5=R58;r6=R68;r7=R57","rxjson",12072
75,145000,1,1,8,over_3_symbols,"ICOPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r6) | COPY_REG_REG(r7,r8)","r1=R55;r2=R105;r3=R53;r4=R106;r5=R52;r6=R107;r7=R54;r8=R108","rxjson",12060
76,145000,1,1,8,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r6) | COPY_REG_REG(r7,r8)","r1=R60;r2=R104;r3=R55;r4=R105;r5=R53;r6=R106;r7=R52;r8=R107","rxjson",12057
77,145000,1,1,8,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6) | COPY_REG_REG(r7,r8)","r1=R51;r2=R14;r3=R60;r4=R104;r5=R55;r6=R105;r7=R53;r8=R106","rxjson",12054
78,145000,1,1,8,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6) | ICOPY_REG_REG(r7,r8)","r1=R57;r2=R102;r3=R51;r4=R14;r5=R60;r6=R104;r7=R55;r8=R105","rxjson",12051
79,140000,2,1,6,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3) | BNE_ID_REG_INT(c1,r4,c2)","r1=R76;r2=R75;r3=R74;c1=label@12783;r4=R72;c2=int:0","rxjson",12771
80,105000,1,1,8,over_3_symbols,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5) | ILT_REG_REG_REG(r6,r7,r4)","c1=label@13480;r1=R82;r2=R76;r3=R101;r4=R75;r5=R102;r6=R74;r7=R103","rxjson",13086
81,105000,1,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ILT_REG_REG_REG(r3,r4,r1) | BRF_ID_REG(c1,r3) | BGETU8_REG_REG_REG(r3,r5,r4)","r1=R75;r2=R102;r3=R74;r4=R103;c1=label@13110;r5=R76","rxjson",13092
82,105000,1,1,6,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IEQ_REG_REG_INT(r1,r2,c3) | BRF_ID_REG(c4,r1)","r1=R73;r2=R79;c1=int:69;c2=label@13322;c3=int:101;c4=label@13432","rxjson",13311
83,95000,1,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | ILTE_REG_REG_INT(r1,r2,c2) | ICOPY_REG_REG(r3,r1) | BRF_ID_REG(c3,r3)","c1=label@13083;r1=R83;r2=R1;c2=int:57;r3=R82;c3=label@13480","rxjson",13076
84,95000,1,1,7,over_3_symbols,"BRT_ID_REG(c1,r1) | IGTE_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2) | ILTE_REG_REG_INT(r2,r3,c4)","c1=label@13086;r1=R82;r2=R83;r3=R1;c2=int:48;c3=label@13083;c4=int:57","rxjson",13069
85,95000,1,1,7,over_3_symbols,"ICOPY_REG_REG(r1,r2) | BRF_ID_REG(c1,r1) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6)","r1=R82;r2=R83;c1=label@13480;r3=R76;r4=R101;r5=R75;r6=R102","rxjson",13083
86,95000,1,1,7,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IGTE_REG_REG_INT(r3,r2,c3) | BRF_ID_REG(c4,r3)","r1=R82;r2=R1;c1=int:45;c2=label@13086;r3=R83;c3=int:48;c4=label@13083","rxjson",13065
87,95000,1,1,6,over_3_symbols,"IGTE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | ILTE_REG_REG_INT(r1,r2,c3) | ICOPY_REG_REG(r3,r1)","r1=R83;r2=R1;c1=int:48;c2=label@13083;c3=int:57;r3=R82","rxjson",13072
88,95000,1,1,7,over_3_symbols,"ILTE_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r3,r1) | BRF_ID_REG(c2,r3) | COPY_REG_REG(r4,r5)","r1=R83;r2=R1;c1=int:57;r3=R82;c2=label@13480;r4=R76;r5=R101","rxjson",13079
89,85000,1,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r2,c2) | ILT_REG_REG_REG(r3,r2,r4) | BRF_ID_REG(c3,r3)","c1=label@13199;r1=R73;r2=R103;c2=int:1;r3=R72;r4=R75;c3=label@13207","rxjson",13157
90,85000,1,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | ILTE_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1) | IADD_REG_REG_INT(r3,r3,c4)","c1=label@13157;r1=R73;r2=R79;c2=int:57;c3=label@13199;r3=R103;c4=int:1","rxjson",13150
91,85000,1,1,7,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | ILT_REG_REG_REG(r2,r1,r3) | BRF_ID_REG(c2,r2) | BGETU8_REG_REG_REG(r4,r5,r1)","r1=R103;c1=int:1;r2=R72;r3=R75;c2=label@13207;r4=R79;r5=R76","rxjson",13160
