opcode	class	family	components	terminal_transition	coherence_shape	side_effect_policy	review_bar	producer	handler_shape	coherence_review	implementation_review	decision	review_notes
NUMCTX_INT_INT_INT_INT_INT	2	numeric-context	SETNUMDGTS_INT;SETNUMFUZ_INT;SETNUMFRM_INT;SETNUMCAS_INT;SETNUMSTD_INT	sequential	context-unit	exact-effects	normal	rxc-direct	validation-and-context-sync	pending	pending-hot-path-audit	undecided	Nine overlapping numeric-context identities collapse to this complete-context form.
SWAPN_REG_REG_REG_REG	1	multi-swap	SWAP_REG_REG;SWAP_REG_REG	sequential	homogeneous-bulk	exact-effects	normal	rxas-backstop	inline-swaps	pending	pending-hot-path-audit	undecided	
SWAPN_REG_REG_REG_REG_REG_REG	1	multi-swap	SWAP_REG_REG;SWAP_REG_REG;SWAP_REG_REG	sequential	homogeneous-bulk	exact-effects	normal	rxas-backstop	inline-swaps	pending	pending-hot-path-audit	undecided	
SWAPN_REG_REG_REG_REG_REG_REG_REG_REG	1	multi-swap	SWAP_REG_REG;SWAP_REG_REG;SWAP_REG_REG;SWAP_REG_REG	sequential	homogeneous-bulk	exact-effects	normal	rxas-backstop	inline-swaps	pending	pending-hot-path-audit	undecided	
SETTPSWAP_REG_INT_REG	1	call-window-preparation	SETTP_REG_INT;SWAP_REG_REG	sequential	call-setup	exact-effects	normal	rxas-backstop	inline-status-and-swap	pending	pending-hot-path-audit	undecided	
LOADSETTP2_REG_INT_REG_INT	1	call-window-preparation	LOAD_REG_INT;SETTP_REG_INT	sequential	call-setup	exact-effects	normal	rxas-backstop	set-int-and-inline-status	pending	pending-hot-path-audit	undecided	
LOADSETTPSWAP_REG_INT_REG_INT_REG	1	call-window-preparation	LOAD_REG_INT;SETTP_REG_INT;SWAP_REG_REG	sequential	call-setup	exact-effects	normal	rxas-backstop	set-int-status-and-swap	pending	pending-hot-path-audit	undecided	
SWAPSETTP_REG_REG_REG_INT	1	call-window-preparation	SWAP_REG_REG;SETTP_REG_INT	sequential	call-setup	exact-effects	normal	rxas-backstop	inline-swap-and-status	pending	pending-hot-path-audit	undecided	
SWAPSETTPSWAP_REG_REG_REG_INT_REG	1	call-window-preparation	SWAP_REG_REG;SETTP_REG_INT;SWAP_REG_REG	sequential	call-setup	exact-effects	normal	rxas-backstop	inline-swaps-and-status	pending	pending-hot-path-audit	undecided	
SETTPSWAPSETTP_REG_INT_REG_REG	1	call-window-preparation	SETTP_REG_INT;SWAP_REG_REG;SETTP_REG_INT	sequential	call-setup	exact-effects	normal	rxas-backstop	inline-status-and-swap	pending	pending-hot-path-audit	undecided	
