module_id,module,instruction_index,executions,shape,top_count,top_bytes,top_max_bytes,recursive_count,recursive_bytes,recursive_max_bytes,status
1,"benchmark_awfy_towers_opt",8,1,"empty",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",8,1,"scalar",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",8,1,"string",0,0,0,1,2,2,complete
1,"benchmark_awfy_towers_opt",8,1,"binary",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",8,1,"decimal",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",8,1,"reference",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",8,1,"object",1,8,8,1,8,8,complete
1,"benchmark_awfy_towers_opt",8,1,"native",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",8,1,"compound",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",105,10,"empty",0,0,0,80,0,0,complete
1,"benchmark_awfy_towers_opt",105,10,"scalar",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",105,10,"string",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",105,10,"binary",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",105,10,"decimal",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",105,10,"reference",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",105,10,"object",10,640,64,10,640,64,complete
1,"benchmark_awfy_towers_opt",105,10,"native",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",105,10,"compound",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",141,140,"empty",0,0,0,430,0,0,complete
1,"benchmark_awfy_towers_opt",141,140,"scalar",0,0,0,130,0,0,complete
1,"benchmark_awfy_towers_opt",141,140,"string",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",141,140,"binary",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",141,140,"decimal",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",141,140,"reference",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",141,140,"object",140,4480,32,140,4480,32,complete
1,"benchmark_awfy_towers_opt",141,140,"native",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",141,140,"compound",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",874,27380,"empty",0,0,0,229750,0,0,complete
1,"benchmark_awfy_towers_opt",874,27380,"scalar",0,0,0,281620,0,0,complete
1,"benchmark_awfy_towers_opt",874,27380,"string",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",874,27380,"binary",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",874,27380,"decimal",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",874,27380,"reference",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",874,27380,"object",27380,876160,32,161330,5162560,448,complete
1,"benchmark_awfy_towers_opt",874,27380,"native",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",874,27380,"compound",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",745,27370,"empty",0,0,0,188690,0,0,complete
1,"benchmark_awfy_towers_opt",745,27370,"scalar",0,0,0,240530,0,0,complete
1,"benchmark_awfy_towers_opt",745,27370,"string",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",745,27370,"binary",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",745,27370,"decimal",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",745,27370,"reference",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",745,27370,"object",27370,875840,32,133950,4286400,416,complete
1,"benchmark_awfy_towers_opt",745,27370,"native",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",745,27370,"compound",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",802,82020,"empty",0,0,0,773530,0,0,complete
1,"benchmark_awfy_towers_opt",802,82020,"scalar",0,0,0,1014080,0,0,complete
1,"benchmark_awfy_towers_opt",802,82020,"string",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",802,82020,"binary",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",802,82020,"decimal",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",802,82020,"reference",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",802,82020,"object",82020,2624640,32,568530,18192960,448,complete
1,"benchmark_awfy_towers_opt",802,82020,"native",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",802,82020,"compound",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",838,81800,"empty",0,0,0,771440,0,0,complete
1,"benchmark_awfy_towers_opt",838,81800,"scalar",0,0,0,1011000,0,0,complete
1,"benchmark_awfy_towers_opt",838,81800,"string",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",838,81800,"binary",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",838,81800,"decimal",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",838,81800,"reference",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",838,81800,"object",81800,2617600,32,566880,18140160,448,complete
1,"benchmark_awfy_towers_opt",838,81800,"native",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",838,81800,"compound",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",841,81800,"empty",0,0,0,649590,0,0,complete
1,"benchmark_awfy_towers_opt",841,81800,"scalar",0,0,0,890180,0,0,complete
1,"benchmark_awfy_towers_opt",841,81800,"string",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",841,81800,"binary",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",841,81800,"decimal",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",841,81800,"reference",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",841,81800,"object",81800,2617600,32,485990,15551680,416,complete
1,"benchmark_awfy_towers_opt",841,81800,"native",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",841,81800,"compound",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",848,81800,"empty",0,0,0,649590,0,0,complete
1,"benchmark_awfy_towers_opt",848,81800,"scalar",0,0,0,890180,0,0,complete
1,"benchmark_awfy_towers_opt",848,81800,"string",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",848,81800,"binary",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",848,81800,"decimal",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",848,81800,"reference",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",848,81800,"object",81800,2617600,32,485990,15551680,416,complete
1,"benchmark_awfy_towers_opt",848,81800,"native",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",848,81800,"compound",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",860,81800,"empty",0,0,0,772350,0,0,complete
1,"benchmark_awfy_towers_opt",860,81800,"scalar",0,0,0,1012820,0,0,complete
1,"benchmark_awfy_towers_opt",860,81800,"string",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",860,81800,"binary",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",860,81800,"decimal",0,0,0,0,0,0,complete
1,"benchmark_awfy_towers_opt",860,81800,"reference",0,0,0,0,0,0,complete
