rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,1523200,34,1,4,candidate,"NULL_REG(r1) | NULL_REG(r2) | NULL_REG(r3) | NULL_REG(r4)","r1=R40;r2=R41;r3=R42;r4=R43","benchmark_rexxcps_levelb_noopt",545
16,134800,2,2,8,candidate,"STRLEN_REG_REG(r1,r2) | ISUB_REG_REG_INT(r3,r4,c1) | ISUB_REG_REG_REG(r5,r1,r3) | BGE_ID_REG_INT(c2,r5,c3)","r1=R28;r2=R27;r3=R26;r4=R24;c1=int:1;r5=R16;c2=label@13014;c3=int:0","trace",12996
17,134400,1,1,8,candidate,"DLT_REG_REG_DECIMAL(r1,r2,c1) | BRT_ID_REG(c2,r1) | DGT_REG_REG_REG(r1,r3,r4) | BRTF_ID_ID_REG(c3,c4,r1)","r1=R82;r2=R8;c1=decimal@40832;c2=label@691;r3=R17;r4=R10;c3=label@896;c4=label@698","benchmark_rexxcps_levelb_noopt",676
18,134400,1,1,10,candidate,"GETANDTP_REG_REG_INT(r1,r2,c1) | LOAD_REG_INT(r3,c2) | LOAD_REG_STRING(r4,c3) | ILT_REG_REG_INT(r5,r6,c4)","r1=R3;r2=R20;c1=int:256;r3=R6;c2=int:0;r4=R9;c3=string@28856;r5=R14;r6=R19;c4=int:1","substr",57
19,134400,2,1,7,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | SETTP_REG_INT(r3,c3) | SETTP_REG_INT(r1,c4)","r1=R81;c1=int:2;r2=R78;c2=int:4;r3=R79;c3=int:768;c4=int:256","benchmark_rexxcps_levelb_noopt",628
20,134400,2,1,10,candidate,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SETTP_REG_INT(r3,c3) | SETTPCALL_REG_FUNC_REG_REG_INT(r4,c4,r1,r5,c5)","r1=R78;c1=int:4;r2=R79;c2=int:768;r3=R81;c3=int:256;r4=R77;c4=func@38880;r5=R82;c5=int:512","benchmark_rexxcps_levelb_noopt",631
21,134400,1,1,10,candidate,"NULLN_REG_REG_REG(r1,r2,r3) | GETANDTP_REG_REG_INT(r4,r5,c1) | LOAD_REG_INT(r6,c2) | LOAD_REG_STRING(r7,c3)","r1=R0;r2=R8;r3=R11;r4=R3;r5=R20;c1=int:256;r6=R6;c2=int:0;r7=R9;c3=string@28856","substr",53
22,134400,3,1,8,candidate,"SCOPY_REG_REG(r1,r2) | LOAD_REG_STRING(r3,c1) | SCOPY_REG_REG(r4,r3) | PARSEWORDS3_REG_REG_REG_REG(r5,r6,r7,r4)","r1=R65;r2=R50;r3=R69;c1=string@60776;r4=R56;r5=R42;r6=R47;r7=R51","benchmark_rexxcps_levelb_noopt",1288
23,134400,3,1,7,candidate,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4) | LOAD_REG_STRING(r5,c1) | SCOPY_REG_REG(r6,r5)","r1=R37;r2=R46;r3=R65;r4=R50;r5=R69;c1=string@60776;r6=R56","benchmark_rexxcps_levelb_noopt",1285
24,134400,3,1,8,candidate,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4) | SCOPY_REG_REG(r5,r6) | LOAD_REG_STRING(r7,c1)","r1=R61;r2=R41;r3=R37;r4=R46;r5=R65;r6=R50;r7=R69;c1=string@60776","benchmark_rexxcps_levelb_noopt",1282
25,134400,1,1,8,candidate,"SETSTRPOS_REG_REG(r1,r2) | SUBSTRING_REG_REG_REG(r3,r1,r4) | ISUB_REG_REG_REG(r5,r6,r4) | BLE_ID_REG_INT(c1,r5,c2)","r1=R12;r2=R11;r3=R9;r4=R1;r5=R8;r6=R20;c1=label@231;c2=int:0","substr",208
26,90416,3,3,7,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IEQ_REG_REG_REG(r1,r3,r4) | BRF_ID_REG(c3,r1)","r1=R30;r2=R26;c1=int:0;c2=label@13042;r3=R14;r4=R28;c3=label@13053","trace",13031
27,90018,3,3,7,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | BRTPANDT_ID_REG_INT(c3,r1,c4) | SCOPY_REG_REG(r2,r1) | BR_ID(c5)","c1=int:18;c2=int:1;c3=label@13;r1=R13;c4=int:512;r2=R8;c5=label@16","left",0
28,90000,2,2,8,candidate,"BRF_ID_REG(c1,r1) | IEQ_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2) | IEQ_REG_REG_REG(r2,r4,r5)","c1=label@13071;r1=R29;r2=R30;r3=R26;c2=int:0;c3=label@13042;r4=R14;r5=R28","trace",13028
29,89602,3,1,7,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | SETTP_REG_INT(r3,c3) | SWAP_REG_REG(r4,r3)","r1=R33;c1=int:1;r2=R31;c2=int:2;r3=R24;c3=int:256;r4=R32","benchmark_rexxcps_levelb_noopt",184
30,89601,1,1,8,candidate,"BRF_ID_REG(c1,r1) | FNDNBLNK_REG_REG_REG(r2,r3,r4) | ILT_REG_REG_INT(r5,r2,c2) | BRF_ID_REG(c3,r5)","c1=label@128;r1=R9;r2=R7;r3=R3;r4=R2;r5=R10;c2=int:0;c3=label@76","word",60
31,89601,1,1,9,candidate,"FNDBLNK_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_REG(r4,r5,r6) | BRF_ID_REG(c1,r4) | ILT_REG_REG_INT(r7,r1,c2)","r1=R5;r2=R3;r3=R7;r4=R10;r5=R0;r6=R14;c1=label@114;r7=R11;c2=int:0","word",80
32,89601,1,1,8,candidate,"IADD_REG_REG_INT(r1,r1,c1) | FNDBLNK_REG_REG_REG(r2,r3,r4) | IEQ_REG_REG_REG(r5,r1,r6) | BRF_ID_REG(c2,r5)","r1=R0;c1=int:1;r2=R5;r3=R3;r4=R7;r5=R10;r6=R14;c2=label@114","word",76
33,89601,1,1,8,candidate,"IEQ_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | ILT_REG_REG_INT(r4,r5,c2) | BRF_ID_REG(c3,r4)","r1=R10;r2=R0;r3=R14;c1=label@114;r4=R11;r5=R5;c2=int:0;c3=label@101","word",84
34,89601,1,1,8,candidate,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | FNDNBLNK_REG_REG_REG(r4,r5,r2) | ILT_REG_REG_INT(r6,r4,c2)","r1=R9;r2=R2;r3=R4;c1=label@128;r4=R7;r5=R3;r6=R10;c2=int:0","word",56
35,89601,1,1,5,candidate,"ISUB_REG_REG_REG(r1,r2,r3) | SETSTRPOS_REG_REG(r4,r3) | SUBSTRING_REG_REG_REG(r5,r4,r1) | RET_REG(r5)","r1=R6;r2=R5;r3=R7;r4=R3;r5=R1","word",101
36,89601,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r3,c1) | LOAD_REG_STRING(r4,c2)","r1=R7;c1=int:0;r2=R5;r3=R6;r4=R1;c2=string@28856","word",44
37,89601,1,1,8,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | LOAD_REG_STRING(r3,c2) | ILT_REG_REG_REG(r4,r5,r6)","r1=R5;c1=int:0;r2=R6;r3=R1;c2=string@28856;r4=R9;r5=R2;r6=R4","word",47
38,89601,1,1,8,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_STRING(r2,c2) | ILT_REG_REG_REG(r3,r4,r5) | BRF_ID_REG(c3,r3)","r1=R6;c1=int:0;r2=R1;c2=string@28856;r3=R9;r4=R2;r5=R4;c3=label@128","word",50
39,89601,2,1,7,candidate,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2) | CALL_REG_FUNC_REG(r4,c3,r1)","r1=R31;c1=int:2;r2=R24;c2=int:256;r3=R32;r4=R20;c3=func@10736","benchmark_rexxcps_levelb_noopt",187
40,89601,1,1,8,candidate,"LOAD_REG_STRING(r1,c1) | ILT_REG_REG_REG(r2,r3,r4) | BRF_ID_REG(c2,r2) | FNDNBLNK_REG_REG_REG(r5,r6,r3)","r1=R1;c1=string@28856;r2=R9;r3=R2;r4=R4;c2=label@128;r5=R7;r6=R3","word",53
41,89600,1,1,7,candidate,"BRF_ID_REG(c1,r1) | CONCAT_REG_REG_STRING(r2,r3,c2) | ITOS_REG(r4) | CONCAT_REG_REG_REG(r5,r2,r4)","c1=label@888;r1=R81;r2=R76;r3=R59;c2=string@38320;r4=R60;r5=R79","benchmark_rexxcps_levelb_noopt",834
42,89600,1,1,6,candidate,"CONCAT_REG_REG_REG(r1,r2,r3) | CONCAT_REG_REG_STRING(r4,r5,c1) | ITOS_REG(r3) | CONCAT_REG_REG_REG(r2,r4,r3)","r1=R79;r2=R76;r3=R60;r4=R84;r5=R59;c1=string@38320","benchmark_rexxcps_levelb_noopt",843
43,89600,2,1,6,candidate,"CONCAT_REG_REG_REG(r1,r2,r3) | STEMGET_REG_REG_REG(r2,r4,r1) | REQ_REG_REG_STRING(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R86;r2=R81;r3=R80;r4=R2;c1=string@29640;c2=label@944","benchmark_rexxcps_levelb_noopt",925
44,89600,1,1,6,candidate,"CONCAT_REG_REG_STRING(r1,r2,c1) | ITOS_REG(r3) | CONCAT_REG_REG_REG(r4,r1,r3) | CONCAT_REG_REG_STRING(r5,r2,c1)","r1=R76;r2=R59;c1=string@38320;r3=R60;r4=R79;r5=R84","benchmark_rexxcps_levelb_noopt",837
45,89600,2,1,6,candidate,"CONCAT_REG_REG_STRING(r1,r2,c1) | LOAD_REG_INT(r3,c2) | ITOS_REG(r3) | CONCAT_REG_REG_REG(r4,r1,r3)","r1=R81;r2=R38;c1=string@38320;r3=R80;c2=int:2;r4=R86","benchmark_rexxcps_levelb_noopt",916
46,89600,1,1,5,candidate,"DADD_REG_REG_REG(r1,r1,r2) | DCOPY_REG_REG(r3,r1) | DTOS_REG(r3) | STEMSET_REG_REG_REG(r4,r5,r3)","r1=R76;r2=R7;r3=R80;r4=R0;r5=R79","benchmark_rexxcps_levelb_noopt",866
47,89600,1,1,7,candidate,"DCOPY_REG_REG(r1,r2) | DTOS_REG(r1) | LOAD_REG_INT(r3,c1) | SETTPCALL_REG_FUNC_REG_REG_INT(r4,c2,r3,r1,c3)","r1=R81;r2=R17;r3=R80;c1=int:1;r4=R79;c2=func@41960;c3=int:768","benchmark_rexxcps_levelb_noopt",726
48,89600,1,1,4,candidate,"DCOPY_REG_REG(r1,r2) | DTOS_REG(r1) | REQ_REG_REG_STRING(r1,r1,c1) | BRF_ID_REG(c2,r1)","r1=R81;r2=R17;c1=string@42728;c2=label@767","benchmark_rexxcps_levelb_noopt",753
49,89600,1,1,7,candidate,"DCOPY_REG_REG(r1,r2) | DTOS_REG(r1) | STEMSET_REG_REG_REG(r3,r4,r1) | DEQ_REG_REG_REG(r5,r6,r7)","r1=R80;r2=R76;r3=R0;r4=R79;r5=R84;r6=R17;r7=R9","benchmark_rexxcps_levelb_noopt",870
50,89600,1,1,8,candidate,"DLT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | CONCAT_REG_REG_STRING(r4,r5,c2) | ITOS_REG(r6)","r1=R81;r2=R17;r3=R5;c1=label@888;r4=R76;r5=R59;c2=string@38320;r6=R60","benchmark_rexxcps_levelb_noopt",830
51,89600,1,1,7,candidate,"DTOS_REG(r1) | STEMSET_REG_REG_REG(r2,r3,r1) | DEQ_REG_REG_REG(r4,r5,r6) | BRF_ID_REG(c1,r4)","r1=R80;r2=R0;r3=R79;r4=R84;r5=R17;r6=R9;c1=label@888","benchmark_rexxcps_levelb_noopt",873
52,89600,1,1,6,candidate,"ITOS_REG(r1) | CONCAT_REG_REG_REG(r2,r3,r1) | CONCAT_REG_REG_STRING(r4,r5,c1) | ITOS_REG(r1)","r1=R60;r2=R79;r3=R76;r4=R84;r5=R59;c1=string@38320","benchmark_rexxcps_levelb_noopt",841
53,89600,2,1,5,candidate,"ITOS_REG(r1) | CONCAT_REG_REG_REG(r2,r3,r1) | LOAD_REG_INT(r4,c1) | ITOS_REG(r4)","r1=R60;r2=R76;r3=R78;r4=R83;c1=int:1234","benchmark_rexxcps_levelb_noopt",610
54,89600,2,1,5,candidate,"ITOS_REG(r1) | CONCAT_REG_REG_REG(r2,r3,r1) | STEMGET_REG_REG_REG(r3,r4,r2) | REQ_REG_REG_STRING(r2,r3,c1)","r1=R80;r2=R86;r3=R81;r4=R2;c1=string@29640","benchmark_rexxcps_levelb_noopt",923
55,89600,1,1,6,candidate,"ITOS_REG(r1) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r4,c2)","r1=R78;r2=R79;c1=int:1;r3=R80;r4=R77;c2=int:4","benchmark_rexxcps_levelb_noopt",770
56,89600,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | ITOS_REG(r1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c2)","r1=R78;c1=int:1234;r2=R79;c2=int:1;r3=R80","benchmark_rexxcps_levelb_noopt",767
57,89600,1,1,7,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r3,c2) | SETTP_REG_INT(r4,c3)","r1=R79;c1=int:1;r2=R80;r3=R77;c2=int:4;r4=R78;c3=int:768","benchmark_rexxcps_levelb_noopt",772
58,89600,1,1,5,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LOAD_REG_INT(r1,c3) | STRLEN_REG_REG(r1,r2) | RET_REG(r1)","c1=int:18;c2=int:1;r1=R0;c3=int:0;r2=R3","length",0
59,89600,1,1,4,candidate,"SCOPY_REG_REG(r1,r2) | STOD_REG(r1) | DADD_REG_REG_REG(r1,r1,r3) | DCOPY_REG_REG(r4,r1)","r1=R76;r2=R84;r3=R7;r4=R80","benchmark_rexxcps_levelb_noopt",861
60,89600,1,1,4,candidate,"SCOPY_REG_REG(r1,r2) | STOD_REG(r1) | DGT_REG_REG_REG(r1,r3,r1) | BRF_ID_REG(c1,r1)","r1=R81;r2=R78;r3=R17;c1=label@726","benchmark_rexxcps_levelb_noopt",712
61,89600,1,1,4,candidate,"STEMGET_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r3,r1) | STOD_REG(r3) | DADD_REG_REG_REG(r3,r3,r4)","r1=R84;r2=R0;r3=R76;r4=R7","benchmark_rexxcps_levelb_noopt",857
62,89600,1,1,4,candidate,"STEMGET_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r3,r1) | STOD_REG(r3) | DGT_REG_REG_REG(r3,r4,r3)","r1=R78;r2=R0;r3=R81;r4=R17","benchmark_rexxcps_levelb_noopt",708
63,89600,1,1,3,candidate,"STOD_REG(r1) | DADD_REG_REG_REG(r1,r1,r2) | DCOPY_REG_REG(r3,r1) | DTOS_REG(r3)","r1=R76;r2=R7;r3=R80","benchmark_rexxcps_levelb_noopt",864
64,86400,2,1,5,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | ITOS_REG(r2) | CONCAT_REG_REG_STRING(r2,r2,c3)","c1=label@1031;r1=R81;r2=R76;c2=int:1;c3=string@38320","benchmark_rexxcps_levelb_noopt",968
65,86400,2,1,5,candidate,"DCOPY_REG_REG(r1,r2) | DTOS_REG(r1) | STEMSET_REG_REG_REG(r3,r4,r1) | BR_ID(c1)","r1=R80;r2=R90;r3=R2;r4=R79;c1=label@1041","benchmark_rexxcps_levelb_noopt",1020
66,86400,2,1,5,candidate,"DMULT_REG_REG_REG(r1,r1,r2) | DCOPY_REG_REG(r3,r1) | DTOS_REG(r3) | STEMSET_REG_REG_REG(r4,r5,r3)","r1=R90;r2=R8;r3=R80;r4=R2;r5=R79","benchmark_rexxcps_levelb_noopt",1016
67,86400,2,1,6,candidate,"RNE_REG_REG_STRING(r1,r2,c1) | BRF_ID_REG(c2,r1) | LOAD_REG_INT(r3,c3) | ITOS_REG(r3)","r1=R81;r2=R38;c1=string@29640;c2=label@1031;r3=R76;c3=int:1","benchmark_rexxcps_levelb_noopt",964
68,86400,2,1,4,candidate,"SCOPY_REG_REG(r1,r2) | STOD_REG(r1) | DMULT_REG_REG_REG(r1,r1,r3) | DCOPY_REG_REG(r4,r1)","r1=R90;r2=R76;r3=R8;r4=R80","benchmark_rexxcps_levelb_noopt",1011
69,86400,2,1,4,candidate,"STEMGET_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r3,r1) | STOD_REG(r3) | DMULT_REG_REG_REG(r3,r3,r4)","r1=R76;r2=R2;r3=R90;r4=R8","benchmark_rexxcps_levelb_noopt",1007
70,86400,2,1,3,candidate,"STOD_REG(r1) | DMULT_REG_REG_REG(r1,r1,r2) | DCOPY_REG_REG(r3,r1) | DTOS_REG(r3)","r1=R90;r2=R8;r3=R80","benchmark_rexxcps_levelb_noopt",1014
71,44800,1,1,5,candidate,"BCF_ID_REG(c1,r1) | NULL_REG(r2) | NULL_REG(r3) | NULL_REG(r4)","c1=label@1795;r1=R21;r2=R13;r3=R14;r4=R15","benchmark_rexxcps_levelb_noopt",1743
72,44800,1,1,6,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_STRING(r2,c2) | SEQ_REG_REG_STRING(r1,r2,c3) | BRF_ID_REG(c4,r1)","c1=label@1050;r1=R90;r2=R38;c2=string@17904;c3=string@51856;c4=label@1061","benchmark_rexxcps_levelb_noopt",1044
73,44800,1,1,5,candidate,"BRT_ID_REG(c1,r1) | NULL_REG(r2) | NULL_REG(r3) | NULL_REG(r4)","c1=label@1355;r1=R73;r2=R40;r3=R41;r4=R42","benchmark_rexxcps_levelb_noopt",542
74,44800,1,1,4,candidate,"CNOP() | CNOP() | LOAD_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2)","r1=R88;c1=string@56776;r2=R87;c2=int:1","benchmark_rexxcps_levelb_noopt",1183
75,44800,1,1,7,candidate,"CNOP() | LOAD_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | SETTPCALL_REG_FUNC_REG_REG_INT(r3,c3,r2,r1,c4)","r1=R88;c1=string@56776;r2=R87;c2=int:1;r3=R91;c3=func@56896;c4=int:768","benchmark_rexxcps_levelb_noopt",1184
76,44800,1,1,6,candidate,"CONCAT_REG_REG_REG(r1,r1,r2) | CONCAT_REG_REG_STRING(r1,r1,c1) | CONCAT_REG_REG_REG(r3,r1,r4) | SCOPY_REG_REG(r5,r3)","r1=R22;r2=R28;c1=string@90456;r3=R20;r4=R29;r5=R16","benchmark_rexxcps_levelb_noopt",1764
77,44800,1,1,6,candidate,"CONCAT_REG_REG_REG(r1,r2,r3) | LOAD_REG_INT(r4,c1) | ITOS_REG(r4) | CONCAT_REG_REG_STRING(r4,r4,c2)","r1=R93;r2=R86;r3=R85;r4=R81;c1=int:1;c2=string@38320","benchmark_rexxcps_levelb_noopt",1110
78,44800,1,1,7,candidate,"CONCAT_REG_REG_REG(r1,r2,r3) | LOAD_REG_INT(r4,c1) | ITOS_REG(r4) | SCONCAT_REG_REG_STRING(r5,r4,c2)","r1=R76;r2=R78;r3=R60;r4=R83;c1=int:1234;r5=R79;c2=string@38600","benchmark_rexxcps_levelb_noopt",612
79,44800,1,1,8,candidate,"CONCAT_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r4,r1) | PARSEWORDS3_REG_REG_REG_REG(r5,r6,r7,r4) | SCOPY_REG_REG(r8,r5)","r1=R20;r2=R22;r3=R29;r4=R16;r5=R13;r6=R14;r7=R15;r8=R17","benchmark_rexxcps_levelb_noopt",1772
80,44800,1,1,6,candidate,"CONCAT_REG_REG_REG(r1,r2,r3) | STEMGET_REG_REG_REG(r2,r4,r1) | REQ_REG_REG_REG(r1,r5,r2) | BRF_ID_REG(c1,r1)","r1=R82;r2=R79;r3=R60;r4=R0;r5=R38;c1=label@673","benchmark_rexxcps_levelb_noopt",656
81,44800,1,1,8,candidate,"CONCAT_REG_REG_STRING(r1,r1,c1) | CONCAT_REG_REG_REG(r2,r1,r3) | SCOPY_REG_REG(r4,r2) | PARSEWORDS3_REG_REG_REG_REG(r5,r6,r7,r4)","r1=R22;c1=string@90456;r2=R20;r3=R29;r4=R16;r5=R13;r6=R14;r7=R15","benchmark_rexxcps_levelb_noopt",1768
82,44800,1,1,6,candidate,"CONCAT_REG_REG_STRING(r1,r2,c1) | CONCAT_REG_REG_REG(r1,r1,r3) | CONCAT_REG_REG_STRING(r1,r1,c1) | CONCAT_REG_REG_REG(r4,r1,r5)","r1=R22;r2=R27;c1=string@90456;r3=R28;r4=R20;r5=R29","benchmark_rexxcps_levelb_noopt",1760
83,44800,1,1,7,candidate,"CONCAT_REG_REG_STRING(r1,r2,c1) | ITOS_REG(r3) | CONCAT_REG_REG_REG(r4,r1,r3) | LOAD_REG_INT(r5,c2)","r1=R78;r2=R59;c1=string@38320;r3=R60;r4=R76;r5=R83;c2=int:1234","benchmark_rexxcps_levelb_noopt",606
84,44800,1,1,5,candidate,"CONCAT_REG_STRING_REG(r1,c1,r1) | CONCAT_REG_REG_STRING(r1,r1,c2) | LOAD_REG_INT(r2,c3) | ITOS_REG(r2)","r1=R86;c1=string@57512;c2=string@464;r2=R84;c3=int:1","benchmark_rexxcps_levelb_noopt",1226
85,44800,1,1,7,candidate,"CONCAT_REG_STRING_REG(r1,c1,r2) | STEMRESET_REG_REG(r3,r1) | REQ_REG_REG_STRING(r1,r4,c2) | BRF_ID_REG(c3,r1)","r1=R87;c1=string@47088;r2=R60;r3=R2;r4=R38;c2=string@47488;c3=label@916","benchmark_rexxcps_levelb_noopt",898
86,44800,1,1,5,candidate,"DADD_REG_REG_REG(r1,r2,r3) | DCOPY_REG_REG(r4,r1) | DTOS_REG(r4) | REQ_REG_REG_REG(r4,r5,r4)","r1=R85;r2=R5;r3=R6;r4=R84;r5=R38","benchmark_rexxcps_levelb_noopt",944
87,44800,1,1,6,candidate,"DCOPY_REG_REG(r1,r2) | DLT_REG_REG_DECIMAL(r3,r2,c1) | BRT_ID_REG(c2,r3) | DGT_REG_REG_REG(r3,r1,r4)","r1=R17;r2=R8;r3=R82;c1=decimal@40832;c2=label@691;r4=R10","benchmark_rexxcps_levelb_noopt",673
88,44800,1,1,4,candidate,"DCOPY_REG_REG(r1,r2) | DTOS_REG(r1) | REQ_REG_REG_REG(r1,r3,r1) | BRF_ID_REG(c1,r1)","r1=R84;r2=R85;r3=R38;c1=label@964","benchmark_rexxcps_levelb_noopt",948
89,44800,1,1,6,candidate,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | NULL_REG(r4) | NULL_REG(r5)","r1=R73;r2=R60;r3=R72;c1=label@1355;r4=R40;r5=R41","benchmark_rexxcps_levelb_noopt",538
90,44800,1,1,8,candidate,"ITOS_REG(r1) | CONCAT_REG_REG_REG(r2,r3,r1) | LOAD_REG_INT(r4,c1) | SETTPCALL_REG_FUNC_REG_REG_INT(r5,c2,r4,r2,c3)","r1=R84;r2=R88;r3=R86;r4=R87;c1=int:1;r5=R94;c2=func@56896;c3=int:768","benchmark_rexxcps_levelb_noopt",1237
