opcode	loop_count	evidence
SWAPN_REG_REG_REG_REG	2000000	new-16-offset-cell
SWAPN_REG_REG_REG_REG_REG_REG	2000000	new-16-offset-cell
SWAPN_REG_REG_REG_REG_REG_REG_REG_REG	2000000	new-16-offset-cell
SETTPSWAP_REG_INT_REG	2000000	new-16-offset-cell
LOADSETTP2_REG_INT_REG_INT	2000000	new-16-offset-cell
LOADSETTPSWAP_REG_INT_REG_INT_REG	2000000	new-16-offset-cell
SWAPSETTP_REG_REG_REG_INT	2000000	new-16-offset-cell
SWAPSETTPSWAP_REG_REG_REG_INT_REG	2000000	new-16-offset-cell
SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG	2000000	new-16-offset-cell
NULLN_REG_REG	2000000	new-16-offset-cell
NULLN_REG_REG_REG	2000000	new-16-offset-cell
NULLN_REG_REG_REG_REG	2000000	new-16-offset-cell
SWAPCALL_REG_FUNC_REG_REG_REG	500000	new-16-offset-cell
SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG	500000	new-16-offset-cell
UNLINKN_REG_REG	500000	new-16-offset-cell
ISETUNLINK_REG_REG	500000	new-16-offset-cell
IGETUNLINK_REG_REG	500000	new-16-offset-cell
ISETUNLINKN_REG_REG_REG	500000	new-16-offset-cell
UNLINKBR_REG_ID	500000	new-16-offset-cell
SETLINKATTR1_REG_REG_INT_INT	500000	new-16-offset-cell
SETLINKATTR1_REG_REG_INT_REG	500000	new-16-offset-cell
SETLINKATTR1_REG_REG_INT_REG_INT	500000	new-16-offset-cell
MINLINKATTR1_REG_REG_INT	500000	new-16-offset-cell
MINLINKATTR1_REG_REG_REG_INT	500000	new-16-offset-cell
ITOF_REG_REG	1000000	new-16-offset-cell
FDIVSUB_REG_REG_REG_FLOAT	500000	new-16-offset-cell
ITOSCONCAT_REG_STRING_REG	100000	new-16-offset-cell
SCONCATITOS_REG_STRING_REG	100000	new-16-offset-cell
ISETATTR1_REG_INT_REG	500000	new-16-offset-cell
UNLINKLINKATTR1_REG_REG_REG_INT	500000	new-16-offset-cell
MINSTOIATTR1_REG_REG_INT	100000	new-16-offset-cell
ILOADSETUNLINKN_REG_REG_INT_REG	500000	new-16-offset-cell
SETTPCALL_REG_FUNC_REG_REG_INT	5000000	reuse-settpcall-review-16-offset-cell
