entry,name,value
sieve-noopt,schema_version,5
sieve-noopt,vm_mode,rxvm
sieve-noopt,profile_mode,counts
sieve-noopt,result,0
sieve-noopt,timer_read_min_ns,0
sieve-noopt,timer_zero_deltas,0
sieve-noopt,interrupt_polls,7912375
sieve-noopt,invalid_events,0
sieve-noopt,counter_overflow,0
sieve-noopt,procedure_tracking_unavailable,0
sieve-noopt,allocation_tracking_unavailable,0
sieve-noopt,census_tracking_unavailable,0
sieve-noopt,branch_tracking_unavailable,0
sieve-opt,schema_version,5
sieve-opt,vm_mode,rxvm
sieve-opt,profile_mode,counts
sieve-opt,result,0
sieve-opt,timer_read_min_ns,0
sieve-opt,timer_zero_deltas,0
sieve-opt,interrupt_polls,6825375
sieve-opt,invalid_events,0
sieve-opt,counter_overflow,0
sieve-opt,procedure_tracking_unavailable,0
sieve-opt,allocation_tracking_unavailable,0
sieve-opt,census_tracking_unavailable,0
sieve-opt,branch_tracking_unavailable,0
permute-noopt,schema_version,5
permute-noopt,vm_mode,rxvm
permute-noopt,profile_mode,counts
permute-noopt,result,0
permute-noopt,timer_read_min_ns,0
permute-noopt,timer_zero_deltas,0
permute-noopt,interrupt_polls,15463326
permute-noopt,invalid_events,0
permute-noopt,counter_overflow,0
permute-noopt,procedure_tracking_unavailable,0
permute-noopt,allocation_tracking_unavailable,0
permute-noopt,census_tracking_unavailable,0
permute-noopt,branch_tracking_unavailable,0
permute-opt,schema_version,5
permute-opt,vm_mode,rxvm
permute-opt,profile_mode,counts
permute-opt,result,0
permute-opt,timer_read_min_ns,0
permute-opt,timer_zero_deltas,0
permute-opt,interrupt_polls,11898926
permute-opt,invalid_events,0
permute-opt,counter_overflow,0
permute-opt,procedure_tracking_unavailable,0
permute-opt,allocation_tracking_unavailable,0
permute-opt,census_tracking_unavailable,0
permute-opt,branch_tracking_unavailable,0
mandelbrot-noopt,schema_version,5
mandelbrot-noopt,vm_mode,rxvm
mandelbrot-noopt,profile_mode,counts
mandelbrot-noopt,result,0
mandelbrot-noopt,timer_read_min_ns,0
mandelbrot-noopt,timer_zero_deltas,0
mandelbrot-noopt,interrupt_polls,138209811
mandelbrot-noopt,invalid_events,0
mandelbrot-noopt,counter_overflow,0
mandelbrot-noopt,procedure_tracking_unavailable,0
