kind,label,sha256,source_commit,notes
source,root-control,,02f5c489cd92f1ad1861d0bb4f24da16cbf99546,clean codex/perf3-12b-compound-tail
source,s1-poc,,888fa94eb0d5b14aa4d3a9a028117a424c6358be,clean codex/perf3-12b-s1-poc
source,h1-poc,,80c78fcee628dd60fe4d572892718f4dda09a4fc,clean codex/perf3-12b-h1-poc
tool,rxc,a44a30cab45707f7267c6ae578bb84302643d825281691ec5bc598065e171c21,02f5c489cd92f1ad1861d0bb4f24da16cbf99546,profiling-off Release
tool,rxvm,473a58820b3f6eb9873ea4feec76b74f63dd461a000b7389e32da35368959fdf,02f5c489cd92f1ad1861d0bb4f24da16cbf99546,profiling-off Release
tool,rxbvm,6e942a8198df47d7dc4308b57c516c95f239729601ce9c1a0648410ac7ac776f,02f5c489cd92f1ad1861d0bb4f24da16cbf99546,profiling-off Release
tool,library.rxbin,a9dd2186065637e8629ec651e825227565db4d870645468d1b05d68cb6fbd5ba,02f5c489cd92f1ad1861d0bb4f24da16cbf99546,common runtime module
tool,s0-s1-rxas,7235a55b4ebb42a55da10676e0f9b67175a3eae6cc3cb197e113258a182f37cc,888fa94eb0d5b14aa4d3a9a028117a424c6358be,profiling-off Release common F1 and S1 proof
tool,h1-rxas,d1402e0a5d80fa0cbef5612c13cd062bed77eced3446ad79b017bf051208287a,80c78fcee628dd60fe4d572892718f4dda09a4fc,profiling-off Release common F1 and H1 proof
tool,profile-rxvm,77b9fa635b9431f00fd6b74d01d5fc77d5bf362b45824f40d300954c0509b855,02f5c489cd92f1ad1861d0bb4f24da16cbf99546,counts-only diagnostic build
tool,profile-rxbvm,4ec26ed9e45adc662dc60c452b230f82b55f85892f698330f4f8e2b8fade11a7,02f5c489cd92f1ad1861d0bb4f24da16cbf99546,counts-only diagnostic build
input,s0-rxas,49efe16928bc9720904d127325a93d1e7c39642eb2f592f2972e52fbdcdcb585,02f5c489cd92f1ad1861d0bb4f24da16cbf99546,accepted generated optimized RXAS
product,s0-rxbin,0872544ec7a7dc57ccf175d48083c3b7db97859da34bd7aaa013028b78f97f65,888fa94eb0d5b14aa4d3a9a028117a424c6358be,common F1 control with zero S1 selections
patch,s1-left-load,503aa146f7edc86b9227a6f02ecf7e18b4bc8feae832c288c770e4aaeb1a0693,888fa94eb0d5b14aa4d3a9a028117a424c6358be,generated-RXAS replay only
input,s1-rxas,ba25f2b8041fce10697afa47088d0b21ac4712372b66d3057bbe78f2935d785a,888fa94eb0d5b14aa4d3a9a028117a424c6358be,stable-left candidate input
product,s1-rxbin,93b8afc5b2a26bcf49a4c1745a47ec0466cced6a4973c58a2a597625da7896c4,888fa94eb0d5b14aa4d3a9a028117a424c6358be,segmented-stem candidate
patch,h1-cache-seed,4b4429b37accb1311f3a753caab8168323ae748d901fd094fce7563a8d1de5d9,80c78fcee628dd60fe4d572892718f4dda09a4fc,normalized zero-context generated-RXAS replay
input,h1-rxas,d30cc26b95da0f1b449fe5c1077288fc20c1a08c5d9c1303aac8a474989166ce,80c78fcee628dd60fe4d572892718f4dda09a4fc,lazy cache-seed candidate input
product,h1-rxbin,223e20b111b1548dcf307a68e506b00a7fb3d41d59a72a834eee9a3ccc930727,80c78fcee628dd60fe4d572892718f4dda09a4fc,joined-key reuse candidate
guard,sieve-input,966809207608512d0fe16771b9086baa36ff4754cee2ea5252fc8881bd498358,02f5c489cd92f1ad1861d0bb4f24da16cbf99546,accepted optimized RXAS
guard,sieve-s1-h1-output,bb45de98d6f87c50c97c50b3de1d8ef50e30bc7c5677f95d64d459f6858e3bc1,,byte-identical negative images
