Process:         rxvm [41789]
Path:            /private/tmp/*/rxvm
Load Address:    0x102544000
Identifier:      rxvm
Version:         0
Code Type:       ARM64
Platform:        macOS
Parent Process:  zsh [41132]
Target Type:     live task

Date/Time:       2026-07-23 19:44:26.440 +0100
Launch Time:     2026-07-23 19:44:26.418 +0100
OS Version:      macOS 26.5.2 (25F84)
Report Version:  7
Analysis Tool:   /usr/bin/heap

Physical footprint:         16.0M
Physical footprint (peak):  16.0M
Idle exit:                  untracked
----

Process 41789: 1 zone

All zones: 8022 nodes malloced - Sizes: 2480KB[1] 240KB[2] 160KB[2] 144KB[6] 96KB[1] 80KB[4] 64KB[6] 48KB[2] 32KB[2] 28KB[3] 24KB[4] 20KB[2] 16KB[12] 14KB[13] 12KB[6] 10KB[4] 8KB[2] 7KB[4] 6KB[11] 5KB[8] 4KB[8] 3.5KB[9] 3KB[18] 2.5KB[13] 2KB[1198] 1.75KB[18] 1.5KB[11] 1.25KB[25] 1KB[18] 896[13] 768[26] 640[27] 512[13] 448[13] 384[19] 320[21] 256[75] 224[148] 192[35] 160[209] 128[226] 112[69] 96[23] 80[68] 64[3703] 48[706] 32[594] 16[621] 

Found:  163 ObjC classes  49 Swift classes  66 CFTypes
Derived 51 type names for non-objects from allocation backtraces

-----------------------------------------------------------------------
All zones: 8022 nodes (9321760 bytes)

   COUNT      BYTES       AVG   CLASS_NAME                                        TYPE    BINARY
   =====      =====       ===   ==========                                        ====    ======
    3533     226112      64.0   malloc in copy_value                              C       rxvm
    1178    2412544    2048.0   malloc in copy_value                              C       rxvm
     589      28272      48.0   malloc in rxvm_link_module                        C       rxvm
      28       7168     256.0   malloc in rxvm_link_module                        C       rxvm
     283       4528      16.0   calloc in prep_and_link_module                    C       rxvm
       3         96      32.0   calloc in prep_and_link_module                    C       rxvm
       1         48      48.0   calloc in prep_and_link_module                    C       rxvm
      97       6208      64.0   calloc in prep_and_link_module                    C       rxvm
       1         80      80.0   calloc in prep_and_link_module                    C       rxvm
      18       2016     112.0   calloc in prep_and_link_module                    C       rxvm
       8       1536     192.0   calloc in prep_and_link_module                    C       rxvm
       1        224     224.0   calloc in prep_and_link_module                    C       rxvm
       2        640     320.0   calloc in prep_and_link_module                    C       rxvm
       4       1536     384.0   calloc in prep_and_link_module                    C       rxvm
       3       1344     448.0   calloc in prep_and_link_module                    C       rxvm
       2       1536     768.0   calloc in prep_and_link_module                    C       rxvm
       1       1024    1024.0   calloc in prep_and_link_module                    C       rxvm
       4       5120    1280.0   calloc in prep_and_link_module                    C       rxvm
       1       1536    1536.0   calloc in prep_and_link_module                    C       rxvm
       2       4096    2048.0   calloc in prep_and_link_module                    C       rxvm
       1       7168    7168.0   calloc in prep_and_link_module                    C       rxvm
       1      10240   10240.0   calloc in prep_and_link_module                    C       rxvm
     412      13184      32.0   Class.data (class_rw_t)                           C       libobjc.A.dylib
     276       4416      16.0   malloc in rxbin007_section_text                   C       rxvm
      10        320      32.0   malloc in rxbin007_section_text                   C       rxvm
       2        160      80.0   malloc in rxbin007_section_text                   C       rxvm
       1         48      48.0   malloc in run                                     C       rxvm
       9        576      64.0   malloc in run                                     C       rxvm
       3        240      80.0   malloc in run                                     C       rxvm
       1         96      96.0   malloc in run                                     C       rxvm
       2        320     160.0   malloc in run                                     C       rxvm
       5        960     192.0   malloc in run                                     C       rxvm
       1        224     224.0   malloc in run                                     C       rxvm
      40      10240     256.0   malloc in run                                     C       rxvm
       6       1920     320.0   malloc in run                                     C       rxvm
       4       1536     384.0   malloc in run                                     C       rxvm
       4       1792     448.0   malloc in run                                     C       rxvm
       1        512     512.0   malloc in run                                     C       rxvm
      11       7040     640.0   malloc in run                                     C       rxvm
      11       8448     768.0   malloc in run                                     C       rxvm
       6       5376     896.0   malloc in run                                     C       rxvm
       6       6144    1024.0   malloc in run                                     C       rxvm
       9      11520    1280.0   malloc in run                                     C       rxvm
       4       6144    1536.0   malloc in run                                     C       rxvm
       8      14336    1792.0   malloc in run                                     C       rxvm
       9      18432    2048.0   malloc in run                                     C       rxvm
       6      15360    2560.0   malloc in run                                     C       rxvm
       8      24576    3072.0   malloc in run                                     C       rxvm
       4      14336    3584.0   malloc in run                                     C       rxvm
       2       8192    4096.0   malloc in run                                     C       rxvm
       3      15360    5120.0   malloc in run                                     C       rxvm
       6      36864    6144.0   malloc in run                                     C       rxvm
       1       7168    7168.0   malloc in run                                     C       rxvm
       1       8192    8192.0   malloc in run                                     C       rxvm
       1      10240   10240.0   malloc in run                                     C       rxvm
       3      36864   12288.0   malloc in run                                     C       rxvm
