Process:         rxvm [39011]
Path:            /private/tmp/*/rxvm
Load Address:    0x102418000
Identifier:      rxvm
Version:         ???
Code Type:       ARM64
Platform:        macOS
Parent Process:  zsh [39009]
Target Type:     live task

Date/Time:       2026-07-23 19:41:16.683 +0100
Launch Time:     2026-07-23 19:41:16.679 +0100
OS Version:      macOS 26.5.2 (25F84)
Report Version:  7
Analysis Tool:   /usr/bin/heap

Physical footprint:         13.7M
Physical footprint (peak):  13.7M
Idle exit:                  untracked
----

Process 39011: 3 zones

All zones: 3099 nodes malloced - Sizes: 2480KB[1] 240KB[1] 160KB[1] 144KB[3] 80KB[3] 64KB[5] 48KB[1] 32KB[1] 28KB[2] 24KB[2] 20KB[1] 16KB[5] 12KB[3] 10KB[4] 8KB[1] 7KB[3] 6KB[6] 5KB[7] 4KB[3] 3.5KB[5] 3KB[12] 2.5KB[7] 2KB[9] 1.75KB[9] 1.5KB[9] 1.25KB[17] 1KB[9] 896[9] 768[13] 640[23] 512[6] 448[8] 384[13] 320[17] 256[32] 224[152] 192[25] 160[346] 128[148] 112[58] 96[23] 80[58] 64[162] 48[942] 32[450] 16[484] 

Found:  163 ObjC classes  49 Swift classes  66 CFTypes
Derived 48 type names for non-objects from allocation backtraces

-----------------------------------------------------------------------
All zones: 3099 nodes (4862592 bytes)

   COUNT      BYTES       AVG   CLASS_NAME                                        TYPE    BINARY
   =====      =====       ===   ==========                                        ====    ======
     589      28272      48.0   malloc in rxvm_link_module                        C       rxvm
      28       7168     256.0   malloc in rxvm_link_module                        C       rxvm
     280       4480      16.0   calloc in prep_and_link_module                    C       rxvm
       5        160      32.0   calloc in prep_and_link_module                    C       rxvm
       2         96      48.0   calloc in prep_and_link_module                    C       rxvm
      97       6208      64.0   calloc in prep_and_link_module                    C       rxvm
       1         80      80.0   calloc in prep_and_link_module                    C       rxvm
      18       2304     128.0   calloc in prep_and_link_module                    C       rxvm
       8       1536     192.0   calloc in prep_and_link_module                    C       rxvm
       1        256     256.0   calloc in prep_and_link_module                    C       rxvm
       2        640     320.0   calloc in prep_and_link_module                    C       rxvm
       4       1536     384.0   calloc in prep_and_link_module                    C       rxvm
       2        896     448.0   calloc in prep_and_link_module                    C       rxvm
       2       1024     512.0   calloc in prep_and_link_module                    C       rxvm
       1        896     896.0   calloc in prep_and_link_module                    C       rxvm
       1       1024    1024.0   calloc in prep_and_link_module                    C       rxvm
       4       5120    1280.0   calloc in prep_and_link_module                    C       rxvm
       1       1536    1536.0   calloc in prep_and_link_module                    C       rxvm
       2       4096    2048.0   calloc in prep_and_link_module                    C       rxvm
       1       7168    7168.0   calloc in prep_and_link_module                    C       rxvm
       1      10240   10240.0   calloc in prep_and_link_module                    C       rxvm
     236       7552      32.0   Class.data (class_rw_t)                           C       libobjc.A.dylib
     176       8448      48.0   Class.data (class_rw_t)                           C       libobjc.A.dylib
     172       2752      16.0   malloc in rxbin007_section_text                   C       rxvm
     112       3584      32.0   malloc in rxbin007_section_text                   C       rxvm
       2         96      48.0   malloc in rxbin007_section_text                   C       rxvm
       2        160      80.0   malloc in rxbin007_section_text                   C       rxvm
       4        192      48.0   xpc_dictionary_t (Storage)                        C       libxpc.dylib
       2        128      64.0   xpc_dictionary_t (Storage)                        C       libxpc.dylib
       1         96      96.0   xpc_dictionary_t (Storage)                        C       libxpc.dylib
      39       4368     112.0   xpc_dictionary_t (Storage)                        C       libxpc.dylib
      76       9728     128.0   xpc_dictionary_t (Storage)                        C       libxpc.dylib
      56       8960     160.0   xpc_dictionary_t (Storage)                        C       libxpc.dylib
      12       2304     192.0   xpc_dictionary_t (Storage)                        C       libxpc.dylib
      57       1824      32.0   malloc in rxvm_rebuild_interface_method_registry  C       rxvm
      64       3072      48.0   malloc in rxvm_rebuild_interface_method_registry  C       rxvm
       3        192      64.0   malloc in rxvm_rebuild_interface_method_registry  C       rxvm
      13       1040      80.0   malloc in rxvm_rebuild_interface_method_registry  C       rxvm
       7        672      96.0   malloc in rxvm_rebuild_interface_method_registry  C       rxvm
       2        224     112.0   malloc in rxvm_rebuild_interface_method_registry  C       rxvm
       2        256     128.0   malloc in rxvm_rebuild_interface_method_registry  C       rxvm
     144      32256     224.0   malloc in prep_and_link_module                    C       rxvm
       1      81920   81920.0   malloc in prep_and_link_module                    C       rxvm
       1         64      64.0   calloc in rxbin007_decode_instructions            C       rxvm
       2        160      80.0   calloc in rxbin007_decode_instructions            C       rxvm
       1         96      96.0   calloc in rxbin007_decode_instructions            C       rxvm
       1        112     112.0   calloc in rxbin007_decode_instructions            C       rxvm
       2        320     160.0   calloc in rxbin007_decode_instructions            C       rxvm
       1        192     192.0   calloc in rxbin007_decode_instructions            C       rxvm
       4        896     224.0   calloc in rxbin007_decode_instructions            C       rxvm
       2        512     256.0   calloc in rxbin007_decode_instructions            C       rxvm
       5       1600     320.0   calloc in rxbin007_decode_instructions            C       rxvm
       5       1920     384.0   calloc in rxbin007_decode_instructions            C       rxvm
       3       1344     448.0   calloc in rxbin007_decode_instructions            C       rxvm
       2       1024     512.0   calloc in rxbin007_decode_instructions            C       rxvm
      11       7040     640.0   calloc in rxbin007_decode_instructions            C       rxvm
      11       8448     768.0   calloc in rxbin007_decode_instructions            C       rxvm
       6       5376     896.0   calloc in rxbin007_decode_instructions            C       rxvm
       6       6144    1024.0   calloc in rxbin007_decode_instructions            C       rxvm
       7       8960    1280.0   calloc in rxbin007_decode_instructions            C       rxvm
       6       9216    1536.0   calloc in rxbin007_decode_instructions            C       rxvm
       8      14336    1792.0   calloc in rxbin007_decode_instructions            C       rxvm
       6      12288    2048.0   calloc in rxbin007_decode_instructions            C       rxvm
       5      12800    2560.0   calloc in rxbin007_decode_instructions            C       rxvm
       9      27648    3072.0   calloc in rxbin007_decode_instructions            C       rxvm
       4      14336    3584.0   calloc in rxbin007_decode_instructions            C       rxvm
       2       8192    4096.0   calloc in rxbin007_decode_instructions            C       rxvm
       3      15360    5120.0   calloc in rxbin007_decode_instructions            C       rxvm
       5      30720    6144.0   calloc in rxbin007_decode_instructions            C       rxvm
       1       7168    7168.0   calloc in rxbin007_decode_instructions            C       rxvm
       1       8192    8192.0   calloc in rxbin007_decode_instructions            C       rxvm
       2      20480   10240.0   calloc in rxbin007_decode_instructions            C       rxvm
       3      36864   12288.0   calloc in rxbin007_decode_instructions            C       rxvm
       5      81920   16384.0   calloc in rxbin007_decode_instructions            C       rxvm
       1      20480   20480.0   calloc in rxbin007_decode_instructions            C       rxvm
       2      49152   24576.0   calloc in rxbin007_decode_instructions            C       rxvm
       1      28672   28672.0   calloc in rxbin007_decode_instructions            C       rxvm
       1      32768   32768.0   calloc in rxbin007_decode_instructions            C       rxvm
       1      49152   49152.0   calloc in rxbin007_decode_instructions            C       rxvm
       2     131072   65536.0   calloc in rxbin007_decode_instructions            C       rxvm
       1      81920   81920.0   calloc in rxbin007_decode_instructions            C       rxvm
       3     442368  147456.0   calloc in rxbin007_decode_instructions            C       rxvm
       1     163840  163840.0   calloc in rxbin007_decode_instructions            C       rxvm
       1     245760  245760.0   calloc in rxbin007_decode_instructions            C       rxvm
     144      23040     160.0   calloc in rxbin007_parse_modules                  C       rxvm
     134      21440     160.0   malloc in add_module_runtime_procedure_offset     C       rxvm
      12        192      16.0   malloc in rxvm_rebuild_interface_factory_registry  C       rxvm
       9        288      32.0   malloc in rxvm_rebuild_interface_factory_registry  C       rxvm
      15        720      48.0   malloc in rxvm_rebuild_interface_factory_registry  C       rxvm
       2        128      64.0   malloc in rxvm_rebuild_interface_factory_registry  C       rxvm
       3        240      80.0   malloc in rxvm_rebuild_interface_factory_registry  C       rxvm
       6        576      96.0   malloc in rxvm_rebuild_interface_factory_registry  C       rxvm
       1        112     112.0   malloc in rxvm_rebuild_interface_factory_registry  C       rxvm
       1       2048    2048.0   malloc in rxvm_rebuild_interface_factory_registry  C       rxvm
      36       4608     128.0   memalign in id2data(objc_object*, SyncKind, usage)  C       libobjc.A.dylib
       2         96      48.0   calloc in rx_graph_deserialize                    C       rxvm
       1         64      64.0   calloc in rx_graph_deserialize                    C       rxvm
       1         80      80.0   calloc in rx_graph_deserialize                    C       rxvm
       2        224     112.0   calloc in rx_graph_deserialize                    C       rxvm
       1        128     128.0   calloc in rx_graph_deserialize                    C       rxvm
       1        160     160.0   calloc in rx_graph_deserialize                    C       rxvm
       1        224     224.0   calloc in rx_graph_deserialize                    C       rxvm
       4       1280     320.0   calloc in rx_graph_deserialize                    C       rxvm
       1        384     384.0   calloc in rx_graph_deserialize                    C       rxvm
       2        896     448.0   calloc in rx_graph_deserialize                    C       rxvm
       1        512     512.0   calloc in rx_graph_deserialize                    C       rxvm
       1        640     640.0   calloc in rx_graph_deserialize                    C       rxvm
       1        896     896.0   calloc in rx_graph_deserialize                    C       rxvm
       1       1024    1024.0   calloc in rx_graph_deserialize                    C       rxvm
       1       1280    1280.0   calloc in rx_graph_deserialize                    C       rxvm
       1       1536    1536.0   calloc in rx_graph_deserialize                    C       rxvm
       1       1792    1792.0   calloc in rx_graph_deserialize                    C       rxvm
       2       6144    3072.0   calloc in rx_graph_deserialize                    C       rxvm
       1       3584    3584.0   calloc in rx_graph_deserialize                    C       rxvm
       1       7168    7168.0   calloc in rx_graph_deserialize                    C       rxvm
       1      10240   10240.0   calloc in rx_graph_deserialize                    C       rxvm
       1      28672   28672.0   calloc in rx_graph_deserialize                    C       rxvm
       1      81920   81920.0   calloc in rx_graph_deserialize                    C       rxvm
      24       1536      64.0   CFData                                            ObjC    CoreFoundation
       2        448     224.0   CFData                                            ObjC    CoreFoundation
       9        288      32.0   malloc in rxsig_strdup_trimmed                    C       rxvm
      15        720      48.0   malloc in rxsig_strdup_trimmed                    C       rxvm
      11        528      48.0   Class.data.extended (class_rw_ext_t)              C       libobjc.A.dylib
      12        768      64.0   Class.data.extended (class_rw_ext_t)              C       libobjc.A.dylib
       1         16      16.0   non-object in zone DefaultMallocZone_0x102920000          <unknown>
       8        256      32.0   non-object in zone DefaultMallocZone_0x102920000          <unknown>
       3        144      48.0   non-object in zone DefaultMallocZone_0x102920000          <unknown>
       5        320      64.0   non-object in zone DefaultMallocZone_0x102920000          <unknown>
       1         80      80.0   non-object in zone DefaultMallocZone_0x102920000          <unknown>
       1        640     640.0   non-object in zone DefaultMallocZone_0x102920000          <unknown>
       1       1024    1024.0   non-object in zone DefaultMallocZone_0x102920000          <unknown>
       1       1536    1536.0   non-object in zone DefaultMallocZone_0x102920000          <unknown>
      21       1680      80.0   Class.data.readonly (class_ro_t)                  C       libobjc.A.dylib
       1         32      32.0   Class.methodCache._buckets (bucket_t)             C       libobjc.A.dylib
      16        768      48.0   Class.methodCache._buckets (bucket_t)             C       libobjc.A.dylib
       2        320     160.0   Class.methodCache._buckets (bucket_t)             C       libobjc.A.dylib
       1        320     320.0   Class.methodCache._buckets (bucket_t)             C       libobjc.A.dylib
       1         32      32.0   Class.data.methods (method_array_t)               C       libobjc.A.dylib
       4        192      48.0   Class.data.methods (method_array_t)               C       libobjc.A.dylib
       1         64      64.0   Class.data.methods (method_array_t)               C       libobjc.A.dylib
       4        320      80.0   Class.data.methods (method_array_t)               C       libobjc.A.dylib
       2        192      96.0   Class.data.methods (method_array_t)               C       libobjc.A.dylib
       1        112     112.0   Class.data.methods (method_array_t)               C       libobjc.A.dylib
       2        256     128.0   Class.data.methods (method_array_t)               C       libobjc.A.dylib
       1        160     160.0   Class.data.methods (method_array_t)               C       libobjc.A.dylib
       1        448     448.0   Class.data.methods (method_array_t)               C       libobjc.A.dylib
      11        528      48.0   Swift._ContiguousArrayStorage<Swift.UInt8>        Swift   libswiftCore.dylib
       4        256      64.0   Swift._ContiguousArrayStorage<Swift.UInt8>        Swift   libswiftCore.dylib
      14        224      16.0   malloc in rx_sig_init_from_parts                  C       rxvm
       6       3840     640.0   realloc in add_module_runtime_procedure_offset    C       rxvm
       2       2560    1280.0   realloc in add_module_runtime_procedure_offset    C       rxvm
       1       2560    2560.0   realloc in add_module_runtime_procedure_offset    C       rxvm
       1       5120    5120.0   realloc in add_module_runtime_procedure_offset    C       rxvm
       6        192      32.0   calloc in rx_sig_init_from_parts                  C       rxvm
       2         96      48.0   calloc in rx_sig_init_from_parts                  C       rxvm
       1         80      80.0   calloc in rx_sig_init_from_parts                  C       rxvm
       3        144      48.0   malloc_with_options_outlined in cache_t::insert(objc_selector*, void (*)(), objc_object*)  C++     libobjc.A.dylib
       3        240      80.0   malloc_with_options_outlined in cache_t::insert(objc_selector*, void (*)(), objc_object*)  C++     libobjc.A.dylib
       1        160     160.0   malloc_with_options_outlined in cache_t::insert(objc_selector*, void (*)(), objc_object*)  C++     libobjc.A.dylib
       3         48      16.0   xpc_string_t (Storage)                            C       libxpc.dylib
       1         48      48.0   xpc_string_t (Storage)                            C       libxpc.dylib
       1         64      64.0   xpc_string_t (Storage)                            C       libxpc.dylib
       1        768     768.0   xpc_string_t (Storage)                            C       libxpc.dylib
       6        288      48.0   xpc_string_t                                      ObjC    libxpc.dylib
       1         32      32.0   malloc in rx_graph_build_runtime_views            C       rxvm
       2        384     192.0   malloc in rx_graph_build_runtime_views            C       rxvm
       2     131072   65536.0   malloc in rx_graph_build_runtime_views            C       rxvm
       1         32      32.0   calloc in rx_graph_build_runtime_views            C       rxvm
       1        112     112.0   calloc in rx_graph_build_runtime_views            C       rxvm
       1        768     768.0   calloc in rx_graph_build_runtime_views            C       rxvm
       1       1280    1280.0   calloc in rx_graph_build_runtime_views            C       rxvm
       1       4096    4096.0   calloc in rx_graph_build_runtime_views            C       rxvm
       3        192      64.0   calloc in rxvm_rebuild_graph_bindings             C       rxvm
       1        256     256.0   calloc in rxvm_rebuild_graph_bindings             C       rxvm
       1       5120    5120.0   calloc in rxvm_rebuild_graph_bindings             C       rxvm
       2         96      48.0   calloc in rxbin007_materialize_pool               C       rxvm
       1      65536   65536.0   calloc in rxbin007_materialize_pool               C       rxvm
       1    2539520  2539520.0   calloc in rxbin007_materialize_pool               C       rxvm
       1        128     128.0   Swift.StringStorage                               Swift   libswiftCore.dylib
       2        320     160.0   Swift.StringStorage                               Swift   libswiftCore.dylib
       1        192     192.0   Swift.StringStorage                               Swift   libswiftCore.dylib
       2        256     128.0   calloc in color_space_state_create_icc_with_profile  C       CoreGraphics
       2        320     160.0   calloc in color_space_state_create_icc_with_profile  C       CoreGraphics
       2        224     112.0   CGColor                                           CFType  CoreGraphics
       2        256     128.0   CGColor                                           CFType  CoreGraphics
       4        448     112.0   CGColorSpace                                      CFType  CoreGraphics
