rank	family	callables	levelb_modules	current_dynamic_materiality	current_inline_ceiling	panel_disposition	selected_or_routed_owner
1	CAS	rxfnsb.upper;rxfnsb.lower	upper;lower	UPPER hot in RexxCPS; LOWER absent	UPPER direct symbol inlines; literal/computed exposed actuals fail inline.bind.actuals	inline/cleanup opportunity	compiler exact-body composition plus trace-safe constant evaluation; LOWER guard breadth only
2	SLC	rxfnsb.substr;rxfnsb.left;rxfnsb.right	substr;left;right	SUBSTR has two timed RexxCPS sites; LEFT reporting; RIGHT absent	timed SUBSTR bodies already inline	inline/cleanup opportunity	compiler constant/value evaluation for proved sites; existing-primitive composition for separately proved dynamic ranges
3	WRD	rxfnsb.word;rxfnsb.words;rxfnsb.wordpos	word;words;wordpos	one timed WORD consumer plus one setup call; siblings absent	timed WORD body already inline	inline/cleanup opportunity	compiler consumer/value composition and exact constant propagation; no public helper
4	LEN	rxfnsb.length	length	one timed RexxCPS use; Base64 already inline	one-primitive body already inline	inline/cleanup opportunity; neutral current verdict	reject standalone production slice; retain compiler result placement as future F03 evidence only
5	B64	current Base64 Level B codec using LEN/SLC/SRC	benchmark source only	material whole-decoder algorithm	all seed BIF calls already inline	algorithm opportunity	separate pure Level B Base64 API under CAP-03; no PERF2-04 product rewrite
6	SRC	rxfnsb.pos;rxfnsb.lastpos	pos;lastpos	POS fixed TRACE setup and Base64; LASTPOS absent	POS reaches one existing STRPOS	clean Level B already at ceiling	current Level B inline/compiler composition
7	SLC-width	rxfnsb.left;rxfnsb.right	left;right	LEFT reporting only; RIGHT absent	current I6 bodies retained	not currently material	Level B fallback/current inliner
8	WRD-siblings	rxfnsb.words;rxfnsb.wordpos;rxfnsb.lastpos	words;wordpos;lastpos	no optimized Tier A dynamic site	mixed I6 availability	not currently material	Level B fallback; reopen only from current multi-site evidence
9	DAT/CNV	rxfnsb.datatype;rxfnsb.b2d;rxfnsb.b2x;rxfnsb.c2d;rxfnsb.c2x;rxfnsb.d2b;rxfnsb.d2c;rxfnsb.d2x;rxfnsb.x2b;rxfnsb.x2c;rxfnsb.x2d	datatype;b2d;b2x;c2d;c2x;d2b;d2c;d2x;x2b;x2c;x2d	zero optimized Tier A BIF calls	mixed I6 availability	not currently material	language/value conversion work routes to PERF2-07
10	CAS-lower	rxfnsb.lower	lower	no timed Tier A site	one-primitive body has I6	not currently material	current Level B/inlining path
