site_id	family	callable	levelb_source	api_companion	workload	phase	caller_site	call_form	i6	optimized_result	static_sites	dynamic_rxvm	dynamic_rxbvm	dynamic_basis	procedure_or_primitive_time_rxvm_ms	procedure_or_primitive_time_rxbvm_ms	current_machine_work	deciding_cell	semantic_boundary
CAS-S1	CAS	rxfnsb.upper	lib/rxfnsb/rexx/upper.crexx	lib/rxfnsb/rexx/upper.md	RexxCPS	timed_kernel	tests/benchmarks/rexxcps_levelb.crexx:191	binary_import	I6	normal_call_inline.bind.actuals	4	280000	212800	current bounded counts; 56 calls per outer iteration	UPPER elapsed/self/entry/exit/STRUPPER=83.731/20.975/49.373/13.382/5.237	UPPER elapsed/self/entry/exit/STRUPPER=81.723/20.604/47.900/13.220/4.956	56 calls and simple-case scans per outer; current normalized instructions 5260.985800/5263.193542	canonical RexxCPS plus isolated 100000-call control	four literal/computed actuals; TRACE-safe exact-body composition required
LEN-S1	LEN	rxfnsb.length	lib/rxfnsb/rexx/length.crexx	lib/rxfnsb/rexx/length.md	RexxCPS	timed_kernel	tests/benchmarks/rexxcps_levelb.crexx:163	binary_import	I6	inlined	1	28_per_outer	28_per_outer	normalized canonical source count	n/a_inlined_main	n/a_inlined_main	one DTOS then STRLEN; selected path 9 instructions; 28 STRLEN per outer	canonical RexxCPS current versus LEN-H1	positive decimal-to-string value; Unicode length and representation validity retained
SLC-S1	SLC	rxfnsb.substr	lib/rxfnsb/rexx/substr.crexx	lib/rxfnsb/rexx/substr.md	RexxCPS	timed_kernel	tests/benchmarks/rexxcps_levelb.crexx:159	binary_import	I6	inlined	1	14_per_outer	14_per_outer	normalized canonical source count	n/a_inlined_main	n/a_inlined_main	current selected path 32 instructions including validation/result; one slice	canonical RexxCPS SLC-C0/H1/CF1	constant ASCII source; start=6 length=2; positive in-range supplied length; no padding
SLC-S2	SLC	rxfnsb.substr	lib/rxfnsb/rexx/substr.crexx	lib/rxfnsb/rexx/substr.md	RexxCPS	timed_kernel	tests/benchmarks/rexxcps_levelb.crexx:165	binary_import	I6	inlined	1	28_per_outer	28_per_outer	normalized canonical source count	n/a_inlined_main	n/a_inlined_main	current selected path 32 instructions including comparison; one slice	canonical RexxCPS SLC-C0/H1/CF1	constant ASCII source; start=1 length=1; positive in-range supplied length; no padding
WRD-S1	WRD	rxfnsb.word	lib/rxfnsb/rexx/word.crexx	lib/rxfnsb/rexx/word.md	RexxCPS	timed_kernel	tests/benchmarks/rexxcps_levelb.crexx:166	binary_import	I6	inlined	1	28_per_outer	28_per_outer	normalized canonical source count	n/a_inlined_main	n/a_inlined_main	29 executed instructions per use; length/blank scans/slice/3-byte result copy/comparison	canonical RexxCPS WORD-C0/H1/CF1	key1 is exact "Key Bee"; wordnum=1; comparison RHS="?"; full WORD fallback retained
WRD-S0	WRD	rxfnsb.word	lib/rxfnsb/rexx/word.crexx	lib/rxfnsb/rexx/word.md	RexxCPS	setup_reporting	tests/benchmarks/rexxcps_levelb.crexx:107	binary_import	I6	normal_call	1	1	1	fixed before timers	not_timed_kernel	not_timed_kernel	one setup call	setup/reporting guard only	must remain ordinary complete WORD behavior
SLC-R0	SLC	rxfnsb.left	lib/rxfnsb/rexx/left.crexx	lib/rxfnsb/rexx/left.md	RexxCPS	reporting	tests/benchmarks/rexxcps_levelb.crexx:226	binary_import	I6	normal_call	1	1	1	fixed after timer	not_timed_kernel	not_timed_kernel	one reporting call	no deciding timed cell	formatting is not a RexxCPS cause
SRC-S0	SRC	rxfnsb.pos	lib/rxfnsb/rexx/pos.crexx	lib/rxfnsb/rexx/pos.md	RexxCPS	setup_control	lib/rxfnsb/rexx/trace.crexx:868,1330-1331	linked_library	I6	mixed_trace_support	library_sites	400	400	fixed TRACE controller before clause timer	not_timed_kernel	not_timed_kernel	validated wrapper reaches existing STRPOS	no deciding timed cell	TRACE/source helper behavior retained
B64-BIF	LEN/SLC/SRC	rxfnsb.length;rxfnsb.substr;rxfnsb.pos	lib/rxfnsb/rexx/length.crexx;lib/rxfnsb/rexx/substr.crexx;lib/rxfnsb/rexx/pos.crexx	lib/rxfnsb/rexx/length.md;lib/rxfnsb/rexx/substr.md;lib/rxfnsb/rexx/pos.md	Base64	whole_decoder	tests/benchmarks/base64_roundtrip.crexx:25,31,79,81-93,115	binary_import	I6	all_inlined	4;6;1	input_dependent	input_dependent	500-repetition current control	decoder self=1363	decoder self=1446	46726464 instructions; 1370505 total STRLEN including 3 fixed checks; 685000 SETSTRPOS; 685000 SUBSTRING; 683000 STRPOS; 2907504 string copies; 1877756578 bytes	fixed-valid Base64 round trip at 2500 repetitions	valid standard alphabet/padding only; common benchmark unchanged
DAT-CNV	DAT/CNV	rxfnsb.datatype and 10 typed conversion callables	lib/rxfnsb/rexx/datatype.crexx and conversion modules	matching lib/rxfnsb/rexx/*.md	Tier_A	all_phases	none_in_optimized_images	binary_import	mixed	no_dynamic_call	0	0	0	complete optimized Tier A census	language ITOS/DTOS/STOD=25.444/16.551/5.533	language ITOS/DTOS/STOD=25.125/16.047/5.549	Level B BIF calls absent; static module size retained separately	no PERF2-04 deciding cell	language/value conversions route to PERF2-07
