entry,name,value
sieve-noopt,schema_version,3
sieve-noopt,vm_mode,rxvm
sieve-noopt,result,0
sieve-noopt,timer_read_min_ns,41
sieve-noopt,timer_zero_deltas,782
sieve-noopt,interrupt_polls,10606482
sieve-noopt,invalid_events,0
sieve-noopt,counter_overflow,0
sieve-noopt,procedure_tracking_unavailable,0
sieve-noopt,allocation_tracking_unavailable,0
sieve-opt,schema_version,3
sieve-opt,vm_mode,rxvm
sieve-opt,result,0
sieve-opt,timer_read_min_ns,41
sieve-opt,timer_zero_deltas,760
sieve-opt,interrupt_polls,9519232
sieve-opt,invalid_events,0
sieve-opt,counter_overflow,0
sieve-opt,procedure_tracking_unavailable,0
sieve-opt,allocation_tracking_unavailable,0
bounce-noopt,schema_version,3
bounce-noopt,vm_mode,rxvm
bounce-noopt,result,0
bounce-noopt,timer_read_min_ns,41
bounce-noopt,timer_zero_deltas,761
bounce-noopt,interrupt_polls,33146133
bounce-noopt,invalid_events,0
bounce-noopt,counter_overflow,0
bounce-noopt,procedure_tracking_unavailable,0
bounce-noopt,allocation_tracking_unavailable,0
bounce-opt,schema_version,3
bounce-opt,vm_mode,rxvm
bounce-opt,result,0
bounce-opt,timer_read_min_ns,41
bounce-opt,timer_zero_deltas,757
bounce-opt,interrupt_polls,28605333
bounce-opt,invalid_events,0
bounce-opt,counter_overflow,0
bounce-opt,procedure_tracking_unavailable,0
bounce-opt,allocation_tracking_unavailable,0
richards-noopt,schema_version,3
richards-noopt,vm_mode,rxvm
richards-noopt,result,0
richards-noopt,timer_read_min_ns,41
richards-noopt,timer_zero_deltas,752
richards-noopt,interrupt_polls,18311753
richards-noopt,invalid_events,0
richards-noopt,counter_overflow,0
richards-noopt,procedure_tracking_unavailable,0
richards-noopt,allocation_tracking_unavailable,0
richards-opt,schema_version,3
richards-opt,vm_mode,rxvm
richards-opt,result,0
richards-opt,timer_read_min_ns,41
richards-opt,timer_zero_deltas,722
richards-opt,interrupt_polls,15645027
richards-opt,invalid_events,0
richards-opt,counter_overflow,0
richards-opt,procedure_tracking_unavailable,0
richards-opt,allocation_tracking_unavailable,0
base64-noopt,schema_version,3
base64-noopt,vm_mode,rxvm
base64-noopt,result,0
base64-noopt,timer_read_min_ns,41
base64-noopt,timer_zero_deltas,726
base64-noopt,interrupt_polls,89175502
base64-noopt,invalid_events,0
base64-noopt,counter_overflow,0
base64-noopt,procedure_tracking_unavailable,0
base64-noopt,allocation_tracking_unavailable,0
base64-opt,schema_version,3
base64-opt,vm_mode,rxvm
base64-opt,result,0
base64-opt,timer_read_min_ns,41
base64-opt,timer_zero_deltas,737
base64-opt,interrupt_polls,61797890
base64-opt,invalid_events,0
base64-opt,counter_overflow,0
base64-opt,procedure_tracking_unavailable,0
base64-opt,allocation_tracking_unavailable,0
rexxcps-noopt,schema_version,3
rexxcps-noopt,vm_mode,rxvm
rexxcps-noopt,result,0
rexxcps-noopt,timer_read_min_ns,41
rexxcps-noopt,timer_zero_deltas,761
rexxcps-noopt,interrupt_polls,600162
rexxcps-noopt,invalid_events,0
rexxcps-noopt,counter_overflow,0
rexxcps-noopt,procedure_tracking_unavailable,0
rexxcps-noopt,allocation_tracking_unavailable,0
rexxcps-opt,schema_version,3
rexxcps-opt,vm_mode,rxvm
rexxcps-opt,result,0
rexxcps-opt,timer_read_min_ns,41
rexxcps-opt,timer_zero_deltas,766
rexxcps-opt,interrupt_polls,593340
rexxcps-opt,invalid_events,0
rexxcps-opt,counter_overflow,0
rexxcps-opt,procedure_tracking_unavailable,0
rexxcps-opt,allocation_tracking_unavailable,0
