rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,9786,151,6,3,candidate,"NULL_REG(r1) | NULL_REG(r2) | NULL_REG(r3)","r1=R28;r2=R29;r3=R30","benchmark_rexxcps_levelb_opt",507
47,641,7,3,4,over_3_symbols,"LOAD_REG_INT(r1,c1) | ICOPY_REG_REG(r2,r1) | BR_ID(c2)","r1=R22;c1=int:0;r2=R21;c2=label@15802","_address",15794
48,618,5,2,5,over_3_symbols,"ISUB_REG_REG_REG(r1,r2,r3) | IGT_REG_REG_REG(r1,r4,r1) | BRF_ID_REG(c1,r1)","r1=R61;r2=R7;r3=R40;r4=R32;c1=label@1244","format",1230
49,616,1,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r2,c2) | IEQ_REG_REG_INT(r3,r4,c3)","c1=label@5509;r1=R5;r2=R12;c2=int:1;r3=R56;r4=R128;c3=int:9","parseExec",2166
50,616,4,1,5,over_3_symbols,"BRT_ID_REG(c1,r1) | IGT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c2,r1)","c1=label@190;r1=R44;r2=R19;r3=R40;c2=label@196","parseExec",183
51,616,4,1,5,over_3_symbols,"ENDLIFE_REG(r1) | SCOPY_REG_REG(r2,r3) | IADD_REG_REG_REG(r4,r4,r5)","r1=R46;r2=R7;r3=R47;r4=R19;r5=R35","parseExec",426
52,616,4,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | ICOPY_REG_REG(r2,r1) | LOAD_REG_INT(r3,c2)","r1=R19;c1=int:1;r2=R37;r3=R35;c2=int:0","parseExec",274
53,616,1,1,6,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | IEQ_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2)","r1=R12;c1=int:1;r2=R56;r3=R128;c2=int:9;c3=label@2218","parseExec",2169
54,616,4,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | ILT_REG_REG_INT(r2,r3,c1) | BRT_ID_REG(c2,r2)","r1=R19;c1=int:1;r2=R47;r3=R6;c2=label@474","parseExec",459
55,616,4,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | ISUB_REG_REG_REG(r2,r3,r1) | IGT_REG_REG_REG(r2,r4,r2)","r1=R19;c1=int:1;r2=R44;r3=R40;r4=R35","parseExec",366
56,616,4,1,5,over_3_symbols,"IADD_REG_REG_REG(r1,r1,r2) | IGTE_REG_REG_REG(r3,r1,r4) | BRF_ID_REG(c1,r3)","r1=R19;r2=R35;r3=R47;r4=R40;c1=label@445","parseExec",431
57,616,4,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | LOAD_REG_STRING(r5,c1)","r1=R46;r2=R19;r3=R45;r4=R35;r5=R44;c1=string@31136","parseExec",387
58,616,1,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4) | BRF_ID_REG(c1,r5)","r1=R16;r2=R1;r3=R17;r4=R2;c1=label@5504;r5=R5","parseExec",4841
59,616,1,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6)","r1=R6;r2=R16;r3=R7;r4=R17;r5=R15;r6=R0","parseExec",4832
60,616,4,1,5,over_3_symbols,"ILT_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IGT_REG_REG_REG(r1,r2,r3)","r1=R44;r2=R19;c1=int:0;c2=label@190;r3=R40","parseExec",179
61,616,4,1,6,over_3_symbols,"ISUB_REG_REG_INT(r1,r2,c1) | IMULT_REG_REG_INT(r3,r4,c2) | IADD_REG_REG_REG(r4,r3,r1)","r1=R34;r2=R33;c1=int:48;r3=R43;r4=R6;c2=int:10","parseExec",239
62,616,4,1,6,over_3_symbols,"STRLEN_REG_REG(r1,r2) | IEQ_REG_REG_INT(r3,r4,c1) | BRF_ID_REG(c2,r3)","r1=R38;r2=R7;r3=R47;r4=R6;c1=int:1;c2=label@494","parseExec",480
63,612,5,2,5,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | REQ_REG_REG_REG(r4,r1,r5) | UNLINK_REG(r1)","r1=R18;r2=R42;r3=R29;r4=R17;r5=R19","_address",14043
64,612,5,2,6,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | REQ_REG_REG_REG(r4,r3,r5)","r1=R42;r2=R29;c1=int:0;r3=R18;r4=R17;r5=R19","_address",14039
65,612,5,2,4,over_3_symbols,"REQ_REG_REG_REG(r1,r2,r3) | UNLINK_REG(r2) | BRF_ID_REG(c1,r1)","r1=R17;r2=R18;r3=R19;c1=label@14061","_address",14047
66,578,3,2,5,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IEQ_REG_REG_INT(r1,r2,c3)","r1=R20;r2=R9;c1=int:76;c2=label@211;c3=int:66","strip",200
67,534,57,3,5,over_3_symbols,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SETTP_REG_INT(r3,c2)","r1=R0;c1=int:256;r2=R42;r3=R43;c2=int:768","benchmark_rexxcps_levelb_opt",692
68,518,1,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ICOPY_REG_REG(r2,r3) | BR_ID(c1)","r1=R104;r2=R0;r3=R89;c1=label@2166","parseExec",5497
69,518,1,1,5,over_3_symbols,"SCOPY_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | NULL_REG(r4)","r1=R17;r2=R2;c1=label@5504;r3=R5;r4=R110","parseExec",4844
70,518,3,1,6,over_3_symbols,"SCOPY_REG_REG(r1,r2) | IADD_REG_REG_REG(r3,r3,r4) | IGTE_REG_REG_REG(r5,r3,r6)","r1=R17;r2=R45;r3=R19;r4=R54;r5=R49;r6=R50","parseExec",1083
71,477,7,2,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINATTRS_REG_REG_INT(r1,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r3)","r1=R10;r2=R16;c1=int:3;r3=R14;c2=int:0;r4=R17","_address",8102
72,423,7,5,4,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3)","c1=int:1;c2=label@8968;r1=R89;c3=int:256","_address",8954
73,422,6,2,5,over_3_symbols,"NULL_REG(r1) | SCOPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5)","r1=R29;r2=R9;r3=R12;r4=R11;r5=R24","trace",16804
74,420,4,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | IEQ_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=label@601;r1=R56;r2=R45;c2=int:48;c3=label@606","parseExec",594
75,420,4,1,6,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IEQ_REG_REG_INT(r1,r3,c3)","r1=R56;r2=R44;c1=int:0;c2=label@601;r3=R45;c3=int:48","parseExec",590
76,409,5,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | MINATTRS_REG_REG_INT(r2,r4,c3)","c1=label@344;r1=R13;r2=R11;r3=R20;c2=int:5;r4=R1;c3=int:0","stem",248
77,406,5,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | MINATTRS_REG_REG_INT(r2,r1,c2) | LINKATTR1_REG_REG_REG(r3,r2,r1)","r1=R21;c1=int:1;r2=R22;c2=int:0;r3=R83","parseExec",3382
78,396,2,1,6,over_3_symbols,"BRTPANDT_ID_REG_INT(c1,r1,c2) | LOAD_REG_STRING(r2,c3) | SETTP_REG_INT(r2,c4)","c1=label@34;r1=R25;c2=int:256;r2=R8;c3=string@1516864;c4=int:0","strip",22
79,396,2,1,4,over_3_symbols,"LOAD_REG_STRING(r1,c1) | SETTP_REG_INT(r1,c2) | BR_ID(c3)","r1=R8;c1=string@1516864;c2=int:0;c3=label@49","strip",26
80,383,6,3,4,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r1,r4) | UNLINK_REG(r1)","r1=R17;r2=R10;r3=R14;r4=R15","_address",8110
81,383,6,3,5,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | SCOPY_REG_REG(r3,r4)","r1=R10;r2=R14;c1=int:0;r3=R17;r4=R15","_address",8106
82,368,2,1,5,over_3_symbols,"BRT_ID_REG(c1,r1) | IEQ_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=label@211;r1=R20;r2=R9;c2=int:66;c3=label@227","strip",204
83,364,2,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ILTE_REG_REG_REG(r3,r1,r4) | BRF_ID_REG(c1,r3)","r1=R116;r2=R113;r3=R110;r4=R118;c1=label@4655","parseExec",4622
84,351,31,3,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1) | SETTP_REG_INT(r4,c1)","r1=R42;r2=R0;r3=R43;c1=int:768;r4=R58","benchmark_rexxcps_levelb_opt",695
85,350,25,2,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SCOPY_REG_REG(r3,r1) | UNLINK_REG(r1)","r1=R68;r2=R69;c1=int:1;r3=R37","benchmark_rexxcps_levelb_opt",1604
86,326,4,3,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r1,r3) | BRT_ID_REG(c2,r2)","r1=R24;c1=int:1;r2=R23;r3=R3;c2=label@358","benchmark_rexxcps_levelb_opt",302
87,308,3,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | ILTE_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=label@511;r1=R47;r2=R6;c2=int:5;c3=label@762","parseExec",504
88,308,3,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | BR_ID(c3)","c1=label@654;r1=R56;r2=R55;c2=int:1;c3=label@737","parseExec",646
89,308,1,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | RNE_REG_REG_STRING(r2,r3,c2) | BRF_ID_REG(c3,r2)","c1=label@3375;r1=R56;r2=R55;r3=R18;c2=string@31136;c3=label@2458","parseExec",2222
90,308,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | LOAD_REG_INT(r2,c1) | SCOPY_REG_REG(r3,r4)","r1=R55;r2=R21;c1=int:0;r3=R18;r4=R7","parseExec",3362
91,308,4,1,4,over_3_symbols,"GETATTRS_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r1,r1,c2) | MINATTRS_REG_REG_INT(r2,r1,c1)","r1=R110;r2=R24;c1=int:0;c2=int:1","parseExec",4544
92,308,1,1,7,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | RNE_REG_REG_STRING(r3,r4,c3)","r1=R56;r2=R6;c1=int:1;c2=label@3375;r3=R55;r4=R18;c3=string@31136","parseExec",2218
93,308,3,1,5,over_3_symbols,"IGTE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | ILTE_REG_REG_INT(r1,r2,c3)","r1=R47;r2=R6;c1=int:3;c2=label@511;c3=int:5","parseExec",500
94,308,5,3,6,over_3_symbols,"ISUB_REG_REG_INT(r1,r2,c1) | IGT_REG_REG_REG(r3,r4,r1) | BRT_ID_REG(c2,r3)","r1=R60;r2=R21;c1=int:1;r3=R59;r4=R61;c2=label@1387","format",1280
95,308,5,3,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | ISUB_REG_REG_INT(r2,r3,c2) | IGT_REG_REG_REG(r4,r1,r2)","r1=R61;c1=int:0;r2=R60;r3=R21;c2=int:1;r4=R59","format",1277
96,308,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | SCOPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5)","r1=R21;c1=int:0;r2=R18;r3=R7;r4=R4;r5=R8","parseExec",3364
97,308,1,1,5,over_3_symbols,"SCOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | BR_ID(c1)","r1=R18;r2=R7;r3=R4;r4=R8;c1=label@4829","parseExec",3367
98,296,2,2,5,over_3_symbols,"BRTPANDT_ID_REG_INT(c1,r1,c2) | SCOPY_REG_REG(r2,r1) | BR_ID(c3)","c1=label@19;r1=R24;c2=int:512;r2=R15;c3=label@22","strip",10
99,296,2,2,5,over_3_symbols,"SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3) | SCOPY_REG_REG(r2,r1)","c1=int:1;c2=label@19;r1=R24;c3=int:512;r2=R15","strip",8
100,292,3,2,4,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | ICOPY_REG_REG(r4,r1) | UNLINK_REG(r1)","r1=R82;r2=R22;r3=R55;r4=R38","parseExec",3097
101,280,20,1,4,over_3_symbols,"MINATTRS_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r1,c1) | SCOPY_REG_REG(r3,r2)","r1=R69;c1=int:1;r2=R68;r3=R37","benchmark_rexxcps_levelb_opt",1601
102,272,3,1,4,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | BRF_ID_REG(c1,r3)","r1=R12;r2=R11;c1=label@323;r3=R10","stem",267
103,266,16,3,3,candidate,"ASSERTINITIALIZED_REG(r1) | SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2)","r1=R16;c1=int:18;c2=int:0","_address",5847
104,262,17,3,2,candidate,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | NULL_REG(r1)","c1=int:1;r1=R3","_address",5781
105,255,6,3,4,over_3_symbols,"SCOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | COPY_REG_REG(r3,r4)","r1=R10;r2=R13;r3=R3;r4=R12","_address",8063
106,255,26,3,6,over_3_symbols,"SETTP_REG_INT(r1,c1) | SETTP_REG_INT(r2,c1) | CALL_REG_FUNC_REG(r3,c2,r4)","r1=R52;c1=int:768;r2=R53;r3=R48;c2=func@44056;r4=R50","benchmark_rexxcps_levelb_opt",1236
107,252,3,1,7,over_3_symbols,"ISUB_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r3,r4) | LOAD_REG_STRING(r5,c2)","r1=R105;r2=R109;c1=int:1;r3=R106;r4=R110;r5=R108;c2=string@31136","parseExec",4488
108,252,3,1,7,over_3_symbols,"SCOPY_REG_REG(r1,r2) | ISUB_REG_REG_INT(r3,r4,c1) | ICOPY_REG_REG(r5,r6)","r1=R107;r2=R111;r3=R105;r4=R109;c1=int:1;r5=R106;r6=R110","parseExec",4485
109,246,3,1,6,over_3_symbols,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c2)","r1=R11;c1=label@323;r2=R10;r3=R14;r4=R20;c2=int:9","stem",269
110,245,34,3,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1)","r1=R7;r2=R6;c1=int:4;r3=R8","_address",7987
111,240,3,2,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_STRING(r2,c2) | STRLEN_REG_REG(r3,r4)","r1=R49;c1=int:0;r2=R52;c2=string@520;r3=R50;r4=R47","benchmark_rexxcps_levelb_opt",553
112,227,3,2,5,over_3_symbols,"STRLEN_REG_REG(r1,r2) | IEQ_REG_REG_INT(r3,r1,c1) | BRF_ID_REG(c2,r3)","r1=R18;r2=R17;r3=R22;c1=int:0;c2=label@127","benchmark_rexxcps_levelb_opt",112
113,219,7,4,5,over_3_symbols,"LOAD_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c2)","r1=R77;c1=string@36256;r2=R75;c2=int:0;r3=R80","benchmark_rexxcps_levelb_opt",2628
114,218,23,2,5,over_3_symbols,"NULL_REG(r1) | SCOPY_REG_REG(r2,r3) | LOAD_REG_INT(r4,c1)","r1=R3;r2=R2;r3=R15;r4=R4;c1=int:3","_address",5785
115,218,5,3,3,candidate,"SETNUMSTD_INT(c1) | NULL_REG(r1) | NULL_REG(r2)","c1=int:1;r1=R1;r2=R2","_address",15614
