entry,name,value
rexxcps-noopt,schema_version,5
rexxcps-noopt,vm_mode,rxbvm
rexxcps-noopt,profile_mode,counts
rexxcps-noopt,result,0
rexxcps-noopt,timer_read_min_ns,0
rexxcps-noopt,timer_zero_deltas,0
rexxcps-noopt,interrupt_polls,9423561
rexxcps-noopt,invalid_events,0
rexxcps-noopt,counter_overflow,0
rexxcps-noopt,procedure_tracking_unavailable,0
rexxcps-noopt,allocation_tracking_unavailable,0
rexxcps-noopt,census_tracking_unavailable,0
rexxcps-noopt,branch_tracking_unavailable,0
rexxcps-opt,schema_version,5
rexxcps-opt,vm_mode,rxbvm
rexxcps-opt,profile_mode,counts
rexxcps-opt,result,0
rexxcps-opt,timer_read_min_ns,0
rexxcps-opt,timer_zero_deltas,0
rexxcps-opt,interrupt_polls,8618035
rexxcps-opt,invalid_events,0
rexxcps-opt,counter_overflow,0
rexxcps-opt,procedure_tracking_unavailable,0
rexxcps-opt,allocation_tracking_unavailable,0
rexxcps-opt,census_tracking_unavailable,0
rexxcps-opt,branch_tracking_unavailable,0
