rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,129850,2,1,6,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r2,c1) | IGETUNLINK_REG_REG(r4,r3) | ICOPY_REG_REG(r5,r4)","r1=R11;r2=R23;r3=R7;c1=int:2;r4=R1;r5=R8","benchmark_awfy_richards_opt",2841
12,65790,1,1,10,candidate,"COPY_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r1,c1,c2,r4,r5,c3) | BTOI_REG(r4) | IEQ_REG_REG_INT(r6,r4,c4)","r1=R3;r2=R63;r3=R5;c1=int:23;c2=int:6;r4=R4;r5=R64;c3=int:1;r6=R7;c4=int:0","benchmark_awfy_richards_opt",2993
13,65790,1,1,6,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r3,r1,c2) | SETTP_REG_INT(r1,c3)","r1=R14;c1=int:1;r2=R12;r3=R8;c2=int:2;c3=int:256","benchmark_awfy_richards_opt",6879
14,65790,1,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r3,r2,c1)","r1=R12;r2=R14;c1=int:2;c2=int:1;r3=R8","benchmark_awfy_richards_opt",6875
15,65790,1,1,10,candidate,"LOAD_REG_INT(r1,c1) | COPY_REG_REG(r2,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r2,c2,c3,r5,r6,c4) | BTOI_REG(r5)","r1=R1;c1=int:0;r2=R3;r3=R63;r4=R5;c2=int:23;c3=int:6;r5=R4;r6=R64;c4=int:1","benchmark_awfy_richards_opt",2990
16,65790,1,1,11,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LOAD_REG_INT(r1,c3) | COPY_REG_REG(r2,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r2,c4,c5,r5,r6,c2)","c1=int:18;c2=int:1;r1=R1;c3=int:0;r2=R3;r3=R63;r4=R5;c4=int:23;c5=int:6;r5=R4;r6=R64","benchmark_awfy_richards_opt",2986
17,65790,1,1,7,candidate,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | SETTP_REG_INT(r3,c2) | CALL2_REG_FUNC_REG_REG(r4,c3,r3,r2)","r1=R12;r2=R8;r3=R14;c1=int:2;c2=int:256;r4=R6;c3=func@109568","benchmark_awfy_richards_opt",6883
18,64637,3,1,6,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | ICOPY_REG_REG(r3,r2) | BR_ID(c3)","c1=label@3052;r1=R5;r2=R4;c2=int:0;r3=R7;c3=label@3086","benchmark_awfy_richards_opt",3041
19,59825,3,1,5,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | IEQ_REG_REG_INT(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R29;r2=R49;r3=R47;c1=int:0;c2=label@3895","benchmark_awfy_richards_opt",3838
20,59825,3,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IGETUNLINK_REG_REG(r5,r3) | UNLINK_REG(r1) | IEQ_REG_REG_INT(r3,r5,c4)","r1=R47;r2=R38;c1=int:5;c2=int:6;r3=R49;r4=R64;c3=int:1;r5=R29;c4=int:0","benchmark_awfy_richards_opt",3830
21,53683,3,1,7,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | IGETUNLINK_REG_REG(r5,r3) | UNLINK_REG(r1)","r1=R6;r2=R9;c1=int:17;r3=R7;r4=R11;c2=int:0;r5=R0","benchmark_awfy_richards_opt",2123
22,53463,2,1,6,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IEQ_REG_REG_INT(r1,r2,c3) | BRF_ID_REG(c4,r1)","r1=R32;r2=R64;c1=int:2;c2=label@3732;c3=int:3;c4=label@4210","benchmark_awfy_richards_opt",3721
23,46496,2,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IEQ_REG_REG_INT(r5,r3,c4) | UNLINKN_REG_REG(r3,r1) | BRF_ID_REG(c5,r5)","r1=R12;r2=R11;c1=int:20;c2=int:6;r3=R7;r4=R3;c3=int:1;r5=R5;c4=int:0;c5=label@2939","benchmark_awfy_richards_opt",2854
24,44175,7,1,7,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | IGETUNLINK_REG_REG(r5,r3) | UNLINKN_REG_REG(r1,r5)","r1=R9;r2=R63;c1=int:17;r3=R4;r4=R1;c2=int:0;r5=R8","benchmark_awfy_richards_opt",3110
25,42540,2,1,6,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | UNLINKN_REG_REG(r2,r3) | BRF_ID_REG(c2,r1) | LOAD_REG_INT(r4,c1)","r1=R7;r2=R4;c1=int:0;r3=R5;c2=label@3024;r4=R8","benchmark_awfy_richards_opt",3006
26,41859,10,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3)","r1=R12;r2=R11;c1=int:9;r3=R13;c2=int:1","benchmark_awfy_richards_opt",459
27,41163,1,1,11,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | BRF_ID_REG(c4,r3) | LOAD_REG_INT(r5,c5) | ICOPY_REG_REG(r6,r5)","r1=R6;r2=R5;c1=int:23;c2=int:6;r3=R8;r4=R4;c3=int:1;c4=label@6816;r5=R2;c5=int:0;r6=R7","benchmark_awfy_richards_opt",6797
28,41163,1,1,10,candidate,"UNLINKN_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c1,c2,r4,r5,c3) | BRF_ID_REG(c4,r4) | LOAD_REG_INT(r1,c5)","r1=R2;r2=R6;r3=R5;c1=int:23;c2=int:6;r4=R8;r5=R4;c3=int:1;c4=label@6816;c5=int:0","benchmark_awfy_richards_opt",6794
29,40814,1,1,7,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETLINKATTR1_REG_REG_INT_REG_INT(r3,r4,c2,r1,c3) | UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3)","r1=R4;r2=R14;c1=int:2;r3=R2;r4=R9;c2=int:6;c3=int:1","benchmark_awfy_richards_opt",6854
30,40814,1,1,7,candidate,"SETLINKATTR1_REG_REG_INT_REG_INT(r1,r2,c1,r3,c2) | UNLINK_REG(r3) | ISETATTR1_REG_INT_REG(r4,c3,r1) | UNLINKN_REG_REG(r1,r2)","r1=R2;r2=R9;c1=int:6;r3=R4;c2=int:1;r4=R14;c3=int:2","benchmark_awfy_richards_opt",6858
31,40814,1,1,6,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | UNLINKN_REG_REG(r3,r4) | BR_ID(c2)","r1=R4;r2=R14;c1=int:2;r3=R2;r4=R9;c2=label@6749","benchmark_awfy_richards_opt",6864
32,38010,3,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c4,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c5,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c4,r1)","r1=R9;r2=R12;c1=int:23;c2=int:6;r3=R11;r4=R64;c3=int:1;r5=R6;c4=int:0;c5=int:25","benchmark_awfy_richards_opt",3148
33,37200,4,1,6,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IGETUNLINK_REG_REG(r4,r1) | UNLINKN_REG_REG(r2,r4) | UNLINK_REG(r5)","r1=R4;r2=R9;r3=R1;c1=int:0;r4=R8;r5=R5","benchmark_awfy_richards_opt",3114
34,35253,1,1,11,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | BRF_ID_REG(c4,r3) | LOAD_REG_INT(r5,c3) | BRTF_ID_ID_REG(c5,c6,r5)","r1=R6;r2=R5;c1=int:25;c2=int:6;r3=R8;r4=R4;c3=int:1;c4=label@6837;r5=R2;c5=label@6850;c6=label@6875","benchmark_awfy_richards_opt",6819
35,35253,1,1,9,candidate,"UNLINKN_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c1,c2,r1,r4,c3) | BRF_ID_REG(c4,r1) | LOAD_REG_INT(r5,c3)","r1=R8;r2=R6;r3=R5;c1=int:25;c2=int:6;r4=R4;c3=int:1;c4=label@6837;r5=R2","benchmark_awfy_richards_opt",6816
36,34875,3,1,12,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | LINKATTR1_REG_REG_INT(r5,r2,c4) | MINLINKATTR1_REG_REG_REG_INT(r6,r5,r7,c5) | IGETUNLINK_REG_REG(r3,r6)","r1=R5;r2=R63;c1=int:20;c2=int:6;r3=R8;r4=R64;c3=int:1;r5=R9;c4=int:17;r6=R4;r7=R1;c5=int:0","benchmark_awfy_richards_opt",3102
37,33248,5,1,8,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | COPY_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r5,r3,c3)","r1=R11;r2=R64;c1=int:0;c2=label@3436;r3=R17;r4=R63;r5=R9;c3=int:8","benchmark_awfy_richards_opt",3237
38,33245,2,1,6,candidate,"ILT_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IGT_REG_REG_INT(r1,r2,c3) | BRF_ID_REG(c4,r1)","r1=R4;r2=R14;c1=int:0;c2=label@2646;c3=int:5;c4=label@2657","benchmark_awfy_richards_opt",2635
39,32545,6,1,6,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r1) | ICOPY_REG_REG(r6,r3)","r1=R17;r2=R19;r3=R14;r4=R18;r5=R63;r6=R22","benchmark_awfy_richards_opt",3333
40,32545,6,1,6,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r1) | BR_ID(c1)","r1=R14;r2=R18;r3=R63;r4=R17;r5=R22;c1=label@3434","benchmark_awfy_richards_opt",3336
41,32545,6,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETLINKATTR1_REG_REG_INT_REG_INT(r3,r4,c2,r1,c3) | UNLINK_REG(r1) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c3,r4)","r1=R10;r2=R19;c1=int:2;r3=R8;r4=R6;c2=int:6;c3=int:1;r5=R5","benchmark_awfy_richards_opt",3295
42,32538,2,1,8,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | IEQ_REG_REG_INT(r4,r5,c2) | BRF_ID_REG(c3,r4)","c1=label@3721;r1=R21;r2=R25;r3=R63;r4=R22;r5=R1;c2=int:0;c3=label@3498","benchmark_awfy_richards_opt",3440
43,25579,2,1,7,candidate,"BRT_ID_REG(c1,r1) | IEQ_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1) | COPY_REG_REG(r3,r4)","c1=label@3732;r1=R32;r2=R64;c2=int:3;c3=label@4210;r3=R38;r4=R63","benchmark_awfy_richards_opt",3725
44,25573,2,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | LINKATTR1_REG_REG_INT(r5,r2,c3) | IGETUNLINK_REG_REG(r3,r5)","r1=R7;r2=R23;c1=int:15;r3=R8;r4=R24;c2=int:0;r5=R5;c3=int:1","benchmark_awfy_richards_opt",2822
45,25573,2,1,7,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | LINKATTR1_REG_REG_INT(r4,r5,c2) | IGETUNLINK_REG_REG(r1,r4) | UNLINKN_REG_REG(r1,r2)","r1=R8;r2=R7;r3=R24;c1=int:0;r4=R5;r5=R23;c2=int:1","benchmark_awfy_richards_opt",2826
46,24758,2,1,6,candidate,"IGT_REG_REG_REG(r1,r2,r3) | UNLINKN_REG_REG(r3,r4) | UNLINKN_REG_REG(r2,r5) | BRF_ID_REG(c1,r1)","r1=R11;r2=R7;r3=R8;r4=R9;r5=R5;c1=label@2723","benchmark_awfy_richards_opt",2708
47,24627,1,1,5,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | ICOPY_REG_REG(r1,r2) | BR_ID(c3)","c1=label@3024;r1=R7;r2=R8;c2=int:0;c3=label@3086","benchmark_awfy_richards_opt",3013
48,24627,1,1,6,candidate,"UNLINKN_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | LOAD_REG_INT(r4,c2) | ICOPY_REG_REG(r3,r4)","r1=R4;r2=R5;c1=label@3024;r3=R7;r4=R8;c2=int:0","benchmark_awfy_richards_opt",3010
49,23253,9,1,9,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKATTR1_REG_REG_INT(r4,r5,c2) | IGETUNLINK_REG_REG(r6,r4) | COPY_REG_REG(r7,r5)","r1=R4;r2=R13;c1=int:0;r3=R12;r4=R17;r5=R11;c2=int:9;r6=R10;r7=R55","benchmark_awfy_richards_opt",628
50,23253,9,1,8,candidate,"UNLINK_REG(r1) | ILOADSETUNLINKN_REG_REG_INT_REG(r2,r3,c1,r4) | LINKATTR1_REG_REG_INT(r1,r5,c2) | IGETUNLINK_REG_REG(r6,r1)","r1=R17;r2=R4;r3=R13;c1=int:0;r4=R12;r5=R11;c2=int:9;r6=R10","benchmark_awfy_richards_opt",626
51,23252,1,1,8,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | INE_REG_REG_INT(r4,r5,c2) | BRF_ID_REG(c3,r4)","c1=label@4210;r1=R32;r2=R38;r3=R63;r4=R33;r5=R1;c2=int:0;c3=label@3830","benchmark_awfy_richards_opt",3732
52,23250,1,1,10,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINKN_REG_REG(r3,r1) | UNLINK_REG(r4) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r5,r6,c1,c2,r3,r7,c3)","r1=R8;r2=R4;r3=R9;r4=R5;r5=R10;r6=R63;c1=int:20;c2=int:6;r7=R64;c3=int:1","benchmark_awfy_richards_opt",3119
53,23250,1,1,12,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c1,c2,r6,r7,c3) | LINKATTR1_REG_REG_INT(r8,r5,c4)","r1=R1;r2=R6;r3=R4;r4=R5;r5=R63;c1=int:20;c2=int:6;r6=R8;r7=R64;c3=int:1;r8=R9;c4=int:17","benchmark_awfy_richards_opt",3097
54,23250,2,1,10,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c2,c3,r2,r5,c4) | ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | COPY_REG_REG(r6,r4)","r1=R6;r2=R11;c1=int:0;r3=R9;r4=R12;c2=int:19;c3=int:6;r5=R64;c4=int:1;r6=R63","benchmark_awfy_richards_opt",3169
55,23250,1,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IGETUNLINK_REG_REG(r5,r3) | UNLINK_REG(r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r6,r2,c1,c2,r7,r4,c3)","r1=R4;r2=R63;c1=int:20;c2=int:6;r3=R6;r4=R64;c3=int:1;r5=R1;r6=R5;r7=R8","benchmark_awfy_richards_opt",3089
56,23250,1,1,6,candidate,"UNLINKN_REG_REG(r1,r2) | LOAD_REG_INT(r1,c1) | ICOPY_REG_REG(r3,r1) | BRTF_ID_ID_REG(c2,c3,r3)","r1=R8;r2=R6;c1=int:1;r3=R7;c2=label@3089;c3=label@3237","benchmark_awfy_richards_opt",3073
57,23250,1,1,10,candidate,"UNLINKN_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c1,c2,r1,r6,c3) | IEQ_REG_REG_INT(r2,r1,c4)","r1=R9;r2=R8;r3=R5;r4=R10;r5=R63;c1=int:20;c2=int:6;r6=R64;c3=int:1;c4=int:0","benchmark_awfy_richards_opt",3122
58,23250,1,1,10,candidate,"UNLINK_REG(r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c1,c2,r4,r5,c3) | IEQ_REG_REG_INT(r6,r4,c4) | UNLINKN_REG_REG(r4,r2)","r1=R5;r2=R10;r3=R63;c1=int:20;c2=int:6;r4=R9;r5=R64;c3=int:1;r6=R8;c4=int:0","benchmark_awfy_richards_opt",3125
59,23250,1,1,12,candidate,"UNLINK_REG(r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c1,c2,r4,r5,c3) | LINKATTR1_REG_REG_INT(r6,r3,c4) | MINLINKATTR1_REG_REG_REG_INT(r1,r6,r7,c5)","r1=R4;r2=R5;r3=R63;c1=int:20;c2=int:6;r4=R8;r5=R64;c3=int:1;r6=R9;c4=int:17;r7=R1;c5=int:0","benchmark_awfy_richards_opt",3100
60,23248,4,1,8,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r2,c2) | LINKATTR1_REG_REG_INT(r5,r2,c3)","c1=label@3498;r1=R22;r2=R27;r3=R25;r4=R8;c2=int:25;r5=R20;c3=int:2","benchmark_awfy_richards_opt",3450
61,23248,4,1,9,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | LINKATTR1_REG_REG_INT(r4,r1,c2) | SETLINKATTR1_REG_REG_INT_REG_INT(r5,r3,c3,r4,c4)","r1=R27;r2=R25;r3=R8;c1=int:25;r4=R20;c2=int:2;r5=R10;c3=int:6;c4=int:1","benchmark_awfy_richards_opt",3453
62,23248,4,1,6,candidate,"IGETUNLINK_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r1) | COPY_REG_REG(r6,r3)","r1=R26;r2=R20;r3=R25;r4=R27;r5=R23;r6=R63","benchmark_awfy_richards_opt",3481
63,23248,4,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r3,r1) | COPY_REG_REG(r4,r2) | COPY_REG_REG(r5,r3)","r1=R20;r2=R27;c1=int:2;r3=R26;r4=R25;r5=R23","benchmark_awfy_richards_opt",3477
64,23248,4,1,8,candidate,"SETLINKATTR1_REG_REG_INT_REG_INT(r1,r2,c1,r3,c2) | UNLINK_REG(r3) | ILOADSETUNLINKN_REG_REG_INT_REG(r4,r1,c2,r2) | LINKATTR1_REG_REG_INT(r3,r5,c3)","r1=R10;r2=R8;c1=int:6;r3=R20;c2=int:1;r4=R7;r5=R27;c3=int:2","benchmark_awfy_richards_opt",3464
65,23246,1,1,6,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | COPY_REG_REG(r2,r1) | LINKATTR1_REG_REG_INT(r3,r1,c3)","r1=R23;c1=int:18;c2=int:1;r2=R6;r3=R8;c3=int:15","benchmark_awfy_richards_opt",2729
66,23246,1,1,8,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r4,r3,r5,c2) | IGETUNLINK_REG_REG(r6,r4)","r1=R6;r2=R23;r3=R8;c1=int:15;r4=R7;r5=R24;c2=int:0;r6=R0","benchmark_awfy_richards_opt",2735
67,23246,1,1,6,candidate,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | ISETATTR1_REG_INT_REG(r3,c2,r1) | LINKATTR1_REG_REG_INT(r2,r3,c3)","r1=R5;r2=R7;c1=int:1;r3=R23;c2=int:18;c3=int:17","benchmark_awfy_richards_opt",2798
68,23246,2,1,6,candidate,"ICOPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r1) | BR_ID(c1)","r1=R9;r2=R3;r3=R23;r4=R11;r5=R21;c1=label@2982","benchmark_awfy_richards_opt",2926
69,23246,1,1,6,candidate,"ICOPY_REG_REG(r1,r2) | ILT_REG_REG_INT(r3,r1,c1) | BRT_ID_REG(c2,r3) | IGT_REG_REG_INT(r3,r1,c3)","r1=R5;r2=R0;r3=R8;c1=int:0;c2=label@2766;c3=int:5","benchmark_awfy_richards_opt",2752
70,23246,1,1,11,candidate,"ICOPY_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c1,c2,r5,r6,c3) | IEQ_REG_REG_INT(r7,r5,c4) | UNLINKN_REG_REG(r5,r3)","r1=R8;r2=R1;r3=R12;r4=R11;c1=int:20;c2=int:6;r5=R7;r6=R3;c3=int:1;r7=R5;c4=int:0","benchmark_awfy_richards_opt",2851
71,23246,1,1,11,candidate,"IGETUNLINK_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c1,c2,r2,r6,c3) | IEQ_REG_REG_INT(r7,r2,c4)","r1=R1;r2=R7;r3=R8;r4=R12;r5=R11;c1=int:20;c2=int:6;r6=R3;c3=int:1;r7=R5;c4=int:0","benchmark_awfy_richards_opt",2848
72,23246,1,1,6,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINKN_REG_REG(r1,r3) | COPY_REG_REG(r4,r5) | LINKATTR1_REG_REG_INT(r3,r5,c1)","r1=R8;r2=R5;r3=R7;r4=R11;r5=R23;c1=int:2","benchmark_awfy_richards_opt",2835
73,23246,1,1,5,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | ICOPY_REG_REG(r4,r1) | ILT_REG_REG_INT(r3,r4,c1)","r1=R0;r2=R7;r3=R8;r4=R5;c1=int:0","benchmark_awfy_richards_opt",2747
74,23246,1,1,8,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKATTR1_REG_REG_INT(r3,r4,c2) | MINLINKATTR1_REG_REG_REG_INT(r2,r3,r5,c1) | LINKATTR1_REG_REG_INT(r1,r4,c3)","r1=R5;r2=R8;c1=int:0;r3=R7;r4=R23;c2=int:15;r5=R24;c3=int:1","benchmark_awfy_richards_opt",2817
75,23246,1,1,8,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c2) | MINLINKATTR1_REG_REG_REG_INT(r4,r3,r5,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r2,r4,c3,r3)","r1=R23;c1=int:18;r2=R5;r3=R7;c2=int:17;r4=R8;r5=R24;c3=int:0","benchmark_awfy_richards_opt",2804
